"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"21/12/2024","10Times","https://10times.com/e1dz-d275-1xzg-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 19 - Fri, 20 Dec 2024","RIDGE Forum: Environmental Economics","RIDGE activities involve workshops focused on economics, featuring academic sessions and policy debates. These gatherings connect researchers with policymakers, emphasizing collaboration and the social impact of research, particularly in Latin America. RIDGE partners with various universities and institutions to enhance the relationship between academic research and economic policy.","","","","Instituto Profesional de la Fundacion Duoc UC  Santiago de Chile  Chile, Santiago, ChileGet Directions","chile","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/e1d5-7z1d-2rsz-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 19 - Fri, 20 Dec 2024","RIDGE Forum: Towards Sustainable Growth","RIDGE activities encompass workshops that last two days, featuring academic sessions and policy debates. They connect researchers with policymakers and focus on economics, particularly in relation to Latin America. RIDGE collaborates with various universities and research institutions, aiming to enhance the interaction between academic research and economic policy.","","","","Santiago, Chile","chile","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","chile","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","https://10times.com/e1d1-0s54-phxd-r","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 03 - Fri, 17 Jan 2025","Embo Practical Course on Developmental Biology","An intensive laboratory and lecture course focusing on modern issues of Developmental Biology for advanced graduate students and postdoctoral fellows. Includes lectures, labs, and a Mini-Symposium at CIMARQ to promote interaction between biologists and young investigators.","","","","Valparaíso, Chile","chile","[region]","","","","","","","European Molecular Biology Organization","","","","Germany","","https://10times.com/company/european-molecular-biology-organization"
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","chile","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","https://10times.com/e1d1-8s3r-1hrg-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 14 - Fri, 17 Jan 2025","International Conference on Variational Analysis and Optimization","The International Conference on Variational Analysis and Optimization honors Professor Marco Antonio López Cerdá for his contributions to Convex Analysis and Optimization. The event gathers experts to discuss research and insights, fostering collaboration and enhancing understanding in the field.","","","","CMM - Center for Mathematical Modeling, Santiago, ChileGet Directions","chile","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/e1d2-z2f0-r3dp-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 17 - Thu, 20 Mar 2025","FRMS Forum meeting","Followers","","","","Sheraton Santiago Hotel and Convention Center, Santiago, ChileGet Directions","chile","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/access-mba-santiago","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 20 Mar 2025","Access MBA One-to-One MBA Event (Access MBA educates, matches, and connects)","""Build your future now""Access MBA offers a series of One-to-One events connecting qualified candidates with top business school admissions directors. Participants engage in personalized meetings, panel discussions, and receive guidance from experts. Attendees can win scholarships and access various incentives. The event focuses on helping candidates make informed decisions about their MBA journey, with tailored schedules and support from a dedicated team.","","","","Renaissance Santiago Hotel, Santiago, ChileGet Directions","chile","[region]","","","","","","","Advent Group","","","","France","","https://10times.com/company/advent-group-paris"
"21/12/2024","10Times","https://10times.com/e1dh-d3r9-z5k2-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 09 - Fri, 11 Apr 2025","International Conference on Smart Technologies & Education (STE)","STE 2025: International Conference on Smart Technologies & Education featuring Smart Technologies, Online Engineering, Virtual Instrumentation, Internet of Things, and engineering education. Technical program, networking opportunities, presentations by Phoenix Contact, and industry workshops. Abstract submission and updates available through conference mailing list.","","","","Duoc UC San Carlos De Apoquindo, Santiago, ChileGet Directions","chile","[region]","","","","","","","International Association of Online Engineering","","","","","","https://10times.com/company/international-association-online-engineering"
"21/12/2024","10Times","https://10times.com/e1d3-23h4-hhzg-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 23 - Fri, 25 Apr 2025","International Labour Process Conference","","","","","","chile","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/e1dh-dxf0-5f3f-0","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 28 Jul - Sat, 02 Aug 2025","PME48 Conference of the International Group for the Psychology of Mathematics Education","","","","","","chile","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/tailings","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 03 - Fri, 05 Sep 2025","International Conference on Tailings Management","","","","","","chile","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/e1dg-0604-zddg-r","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 11 - Fri, 14 Nov 2025","Pan-American Congress of Otorhynolaringology","Followers","","","","Sheraton Santiago Hotel and Convention Center, Santiago, ChileGet Directions","chile","[region]","","","","","","","Fase20","","","","","","https://10times.com/company/fase20"
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","chile","[region]","","","","","","","","","","","","",
