"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"21/12/2024","10Times","https://10times.com/latin-expo-quito","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 13 Apr 2025","Latin Expo Quito","Followers","","","","Quito, Ecuador","ecuador","[region]","","","","","","","International Student Network Inc","","","","USA","","https://10times.com/company/international-student-network-inc"
"21/12/2024","10Times","https://10times.com/exp-libro","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 17 - Sun, 21 Sep 2025","Guayaquil International Book Fair","Followers","","","","Expoplaza, 											Guayaquil, EcuadorGet Directions","ecuador","[region]","","","","","","","Expoplaza","","","","Ecuador","","https://10times.com/company/expoplaza"
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","https://10times.com/e12d-spr5-gdr3-9","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 22 Nov - Sun, 01 Dec 2024","National Model United Nations Conference","Experience the Galápagos Islands through NMUN • Galápagos, an educational opportunity for students to engage in a United Nations simulation focused on global environmental issues. Participants will develop skills, interact with local wildlife, and enjoy the island's natural beauty while fostering international friendships.","","","","Chatham Grand Hotel, Puerto Baquerizo Moreno,  EcuadorGet Directions","ecuador","[region]","","","","","","","National Model United Nations","","","","USA","","https://10times.com/company/national-model-united-nations"
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","https://10times.com/e1dd-k33z-gf0k-2","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 12 - Fri, 15 Nov 2024","Conference on Electrical and Electronic Engineering (JIEE)","Followers","","","","Escuela Politecnica Nacional, 											Quito, EcuadorGet Directions","ecuador","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/e12d-dkfx-2zf5-1","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 26 - Thu, 28 Nov 2024","6 CES: VI Congress of Salesian Education","All full articles submitted to the conference will undergo a double-blind review process by at least two members of the Scientific Committee, evaluating for relevance, originality, importance, and clarity. Original works only.","","","","Quito, Ecuador","ecuador","[region]","","","","","","","Universidad Politecnica Salesiana","","","","","","https://10times.com/company/universidad-politecnica-salesiana"
"21/12/2024","10Times","https://10times.com/e1dd-sx4x-4r4s-3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 14 - Fri, 15 Nov 2024","Bilingualism, Bilingual Education, and Social (Sociolinguistic/Political) Conflict (Biuned)","","","","","","ecuador","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/e1d3-93d4-xrzd-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Thu, 12 Sep 2024","International Conference of Systems and Smart Technologies (CI3)","","","","","","ecuador","[region]","","","","","","","","","","","","",""
