"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/european-education-fair-paris","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 13 - Sun, 17 Nov 2024","The European Education Fair","""Training and orientation - Building your career""The European Education Fair assists visitors in France with career planning and higher education options. It is a valuable resource for high school students and their families.","","","","
                    Paris Expo Porte de Versailles, Paris, FranceGet Directions","France","Europe","","","","","","","Le Salon europeen de leducation","http://www.salon-education.com","","","France","","https://10times.com/company/le-salon-europeen-de-leducation"
"12/07/2024","10Times","https://10times.com/icem-france","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 28 - Sun, 29 Sep 2024","International Conference on Education & Management Innovation (ICEM)","""Academic Research International Conference""ICEMI aims to bring together researchers, scientists, engineers, and scholar students to exchange and share their experiences, new ideas, and research results about all aspects of Education and Management Innovation, and discuss the practical challenges encountered and the solutions adopted.","","","","
                    Paris Marriott Rive Gauche Hotel & Conference Center, Paris, FranceGet Directions","France","Europe","","","","","","","The Society for Academic Research","http://www.iaarhies.org","","","India","","https://10times.com/company/society-for-academic-research"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","France","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/ictel-paris","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 08 - Thu, 09 Jan 2025","International Conference on Teaching, Education & Learning (TERA)","""Collaborate to co-create""D. Her research has been published in journals like Journal of Destination Marketing & Management, Journal of Hospitality and Tourism Management, Tourism Review, among others. She reviews JCR and SJR journals, speaks at international congresses, is an Associate Editor at Cuadernos de EstudiosEmpresariales (UCM), and is a member of the research team MARKCO2.","","","","
                    Hotel Pullman Paris Centre Bercy, Paris, FranceGet Directions","France","Europe","","","","","","","Eurasia Research","https://eurasiaresearch.org/","","","India","","https://10times.com/company/protobex-asia-expo"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","France","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/agricultural-show","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 22 Feb - Sun, 02 Mar 2025","International Agricultural Show","""The Agriculture Industry Exhibition""International Agricultural Show is a major trade event for the agriculture industry, attracting visitors and professionals from around the world. It offers education and training for new farmers and focuses on innovation and technology to address industry challenges and promote growth.","","","","
                    Paris Expo Porte de Versailles, Paris, FranceGet Directions","France","Europe","","","","","","","Comexposium","http://www.comexposium.com","","","France","","https://10times.com/company/comexposium"
"12/07/2024","10Times","https://10times.com/e1dh-0dr3-s3hh-9","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Thu, 29 Aug 2024","Sea & Education: Ocean and Coast: Playgrounds?","Sea & Education 2024: Ocean & Sport theme exploring the relationship between oceans, coasts, and sports. Summer university for secondary school teachers to enhance high school-university link and showcase Brittany's marine and coastal research excellence.","","","","
                    European University Institute of the Sea (IUEM), Plouzané,  FranceGet Directions","France","Europe","","","","","","","Sciencesconf.org","http://sciencesconf.org","","","France","","https://10times.com/company/sciencesconforg"
"12/07/2024","10Times","https://10times.com/tesol-paris","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 15 - Sun, 17 Nov 2024","International TESOL France Colloquium","TESOL France is an organization that invites English teachers to become members and enjoy benefits like free workshops, networking opportunities, and resources. They also host a yearly colloquium and a spring event. Language schools can also enhance their teaching quality and gain exposure by joining.","","","","
                    International School Honoré-De-Balzac, Paris, FranceGet Directions","France","Europe","","","","","","","TESOL","http://www.tesol.org","","","USA","","https://10times.com/company/tesol"
"12/07/2024","10Times","https://10times.com/studyrama-lyon","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 12 Oct 2024","Salon Studyrama Grandes Ecoles de Lyon","StudyLives at Eurexpo Lyon offers a wide range of educational opportunities, including orientation tests, career guidance, job and internship opportunities, entrance exams for schools and public services, and the latest news in the education sector. Join us for live sessions, advice, interviews, and testimonials.","","","","
                    Eurexpo Lyon, Lyon, FranceGet Directions","France","Europe","","","","","","","Studyrama","http://www.studyrama.com","","","France","","https://10times.com/company/studyrama-levallois-perret"
"12/07/2024","10Times","https://10times.com/e1d1-5d0x-1pfx-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 23 - Fri, 26 Jul 2024","The Innovation School","Discover how to validate innovative solutions and product ideas, transforming them into market-ready offerings. Learn to pivot ideas into viable products using the lean-canvas model. Join the Innovation School for a four-day program to enhance entrepreneurial skills and network with industry leaders.","","","","
                    Congress Center Pierre Baudis, 											Toulouse,											FranceGet Directions","France","Europe","","","","","","","","","","","","",""
