"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/habla-teacher-institute","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Fri, 26 Jul 2024","Annual Habla Teacher Institute","Merida","","","","
                    Habla: Spanish Language School and Education Center, 											Merida, MexicoGet Directions","Mexico","North America","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/guadalajara-expo-tech-forum","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Thu, 12 Sep 2024","Guadalajara Expo & Tech Forum","The Guadalajara Expo & Tech Forum brings together engineers, managers, directors, and buyers to showcase global technology in a local setting and educate local professionals who may not attend SMTA International.","","","","
                    Expo Guadalajara, Guadalajara, MexicoGet Directions","Mexico","North America","","","","","","","Surface Mount Technology Association","http://www.smta.org","","","USA","","https://10times.com/company/surface-mount-technology"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Mexico","North America","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e11x-s5xz-3fs6","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 26 - Sat, 28 Sep 2024","Annual Educators' Conference","The Annual Educators' Conference is a professional development event that brings together educators from around the world. It offers a variety of workshops, presentations, and networking opportunities to enhance teaching practices and promote collaboration in the education community.","","","","Mexico City, Mexico","Mexico","North America","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Mexico","North America","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/paace-automechanika-mexico","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 10 - Fri, 12 Jul 2024","INA PAACE Automechanika","Attend INA PAACE Automechanika Mexico to connect with the automotive community, gain knowledge, and explore the latest product innovations. It is a leading event in Latin America that you shouldn't miss!","","","","Mexico City, Mexico","Mexico","North America","","","","","","","Messe Frankfurt Inc.","http://www.usa.messefrankfurt.com","","","USA","","https://10times.com/company/messe-frank-inc"
"12/07/2024","10Times","https://10times.com/green-expo-mexico","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 03 - Thu, 05 Sep 2024","The Green Expo","","","","","Mexico City","Mexico","North America","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/expo-seguridad-mexico","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 24 - Thu, 26 Jun 2025","Expo Seguridad Mexico","""International safety & security product exhibition""Expo Seguridad Mexico connects IoT data sources to provide insights. Explore industrial safety, health, fire equipment, and more. Attend educational sessions, network with vendors, and discover the latest security products. Join us in 2025 for a diverse and inclusive event. Be part of the Net Zero Carbon Events pledge.","","","","
                    Centro Citibanamex, Mexico City, MexicoGet Directions","Mexico","North America","","","","","","","RX Mexico","https://rxglobal.com","","","Mexico","","https://10times.com/company/reed-exhibitions-mexico-sa-de-cv"
"12/07/2024","10Times","https://10times.com/s-world-grad-school-tour","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 31 Aug 2024","QS MBA Events Mexico City","Explore our Events in South America to find and fund your ideal master or MBA course. Meet admissions officers from top graduate universities, chat with representatives and alumni, attend expert-led panels and workshops, and apply for QS World Merit Scholarships.","","","","
                    Sheraton Mexico City Maria Isabel Hotel, Mexico City, MexicoGet Directions","Mexico","North America","","","","","","","QS Quacquarelli Symonds Limited","http://www.qs.com","","","UK","","https://10times.com/company/quacquarelli-symonds-ltd-qs"
"12/07/2024","10Times","https://10times.com/qs-world-mba-tour-mexicocity","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 31 Aug 2024","QS World MBA Tour Mexico City","In this fair products to be showcase are MBA  program and study destination, learn how to get the best GMAT score, meet with admissions directors and network with MBA alumni who can share their study and career success stories etc.","","","","
                    InterContinental Presidente Mexico City, Mexico City, MexicoGet Directions","Mexico","North America","","","","","","","QS Quacquarelli Symonds Limited","http://www.qs.com","","","UK","","https://10times.com/company/quacquarelli-symonds-ltd-qs"
"12/07/2024","10Times","https://10times.com/expo-estudiante-mexico","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 28 - Sun, 29 Sep 2024","Expo-Estudiante Mexico","BMI GlobalEd organizes international school forums and workshops in Africa, China, Southeast Asia, Brazil, Latin America, India, MENA, Central Asia, Vietnam, UK, US, and Canada. The events focus on higher education student recruitment, targeting students interested in studying abroad at undergraduate and postgraduate levels.","","","","Mexico City, Mexico","Mexico","North America","","","","","","","BMI Group","https://bmiglobaled.com/","","","UK","","https://10times.com/company/bmi-media"
"12/07/2024","10Times","https://10times.com/e1d1-d6r4-5fdg-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Sat, 27 Jul 2024","Millennium Conference on Advances in Green Chemistry","Attend the Green Chemistry Conference in Merida, Mexico to discover sustainable practices, cutting-edge technologies, and innovative research. Network with experts, showcase your work, and contribute to a greener future through chemistry. Explore Merida's cultural heritage.","","","","
                    Fiesta Americana Merida, 											Merida, MexicoGet Directions","Mexico","North America","","","","","","","","","","","","",""
