"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"16/07/2024","10Times","https://10times.com/simo-network","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 19 - Thu, 21 Nov 2024","Simo Education (SIMO EDUCACION)","""International ICT Services and Solutions Trade Fair""SIMO EDUCACIÓN is an international event organized by IFEMA MADRID that brings together leading brands in technology and digital content for teaching. It showcases cutting-edge technological tools and solutions for educational innovation and improvement of teaching and management processes in educational centers.","","","","
                    IFEMA - Feria de Madrid, Madrid, SpainGet Directions","Spain","Europe","","","","","","","Ifema Feria De Madrid","http://www.ifema.es","","","Spain","","https://10times.com/company/ifema"
"16/07/2024","10Times","https://10times.com/expo-elearning-spain","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 26 - Sun, 30 Mar 2025","Education Week","Education Week: Explore the educational universe with sectorized rooms for schools, congress, classroom, postgraduate, and continuing training. Discover answers for academic and professional future, training proposals for graduates, tools for teachers, school options for families. Experience Promotion of Reading in 2024 edition with activities.","","","","
                    IFEMA - Feria de Madrid, Madrid, SpainGet Directions","Spain","Europe","","","","","","","Ifema Feria De Madrid","http://www.ifema.es","","","Spain","","https://10times.com/company/ifema"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Spain","Europe","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/iceel-madrid","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 22 - Fri, 23 Aug 2024","International Conference on Education and E-Learning (ICEEL)","International Conference on Education and E-Learning (ICEEL - 2024) featuring current research, experts, students from global universities, idea exchange, collaborations, and awards for significant contributions.","","","","
                    Crowne Plaza Madrid Airport, an IHG Hotel, Madrid, SpainGet Directions","Spain","Europe","","","","","","","ISERD- Malaysia","http://iserd.co/","","","Malaysia","","https://10times.com/company/iserd-malaysia"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Spain","Europe","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/ictem-shanghai","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 - Wed, 31 Jul 2024","International Conference on Teaching and Education Management (ICTEM)","It delightfully welcomes all the researchers and developers to share their experiences and ideas through research talks and presentations from diverse fields in teaching and education management. This event offers a platform in bringing together a forum for students, postdocs and established scientists to exchange their ideas and contributing an integrative approach to teaching and education management.","","","","Barcelona, Spain","Spain","Europe","","","","","","","Asia Society of Researchers (ASR)","http://www.asr.org","","","","","https://10times.com/company/american-society-for-research-asr"
"16/07/2024","10Times","https://10times.com/simo-education","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 19 - Thu, 21 Nov 2024","International Exhibition of Technology and Educational Innovation","Simo EducaciÃ³n, organized by IFEMA MADRID, is a global educational technology and innovation exhibition. It features top technology brands and digital content for teaching, highlighting advanced tools and solutions for educational innovation and enhancing teaching-learning processes. The event also explores the topic of education in the age of artificial intelligence.","","","","
                    IFEMA - Feria de Madrid, Madrid, SpainGet Directions","Spain","Europe","","","","","","","Ifema Feria De Madrid","http://www.ifema.es","","","Spain","","https://10times.com/company/ifema"
"16/07/2024","10Times","https://10times.com/educationresearch","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 11 - Wed, 13 Nov 2024","International Conference of Education, Research and Innovation (ICERI)","Join us for the 17th annual International Conference of Education, Research and Innovation in Seville, Spain. Connect with experts from over 80 countries, participate in workshops and sessions, and explore the charming city with qualified historians. Experience the beauty and traditions of Seville at ICERI2024.","","","","Seville, Spain","Spain","Europe","","","","","","","IATED","","","","","","https://10times.com/company/iated"
"16/07/2024","10Times","https://10times.com/e1x0-g7s1-z2hr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 - Wed, 31 Jul 2024","International Conference on Artificial Intelligence in Education Technology","The AIET conference is a yearly gathering that explores the convergence of artificial intelligence and education technology. It welcomes professionals and students to present their research on AI in education, covering topics like learning contexts, educational inequality, human-AI collaboration, online learning, etc. Selected papers will be published in a book and indexed in well-regarded databases.","","","","
                    Campus Mundet - Universitat de Barcelona, Barcelona, SpainGet Directions","Spain","Europe","","","","","","","Asia Society of Researchers (ASR)","http://www.asr.org","","","","","https://10times.com/company/american-society-for-research-asr"
"16/07/2024","10Times","https://10times.com/e1sz-55p0-skz9","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Sun, 21 Jul 2024","International Conference on Applied Research in Education (ARECONF)","Join the prestigious international Education Conference 2024 to explore latest developments in applied research, present findings, engage in thought-provoking discussions, and interact with global experts. Enhance academic career, collaborate with researchers, and gain recognition in the field. Attend on-site or virtually for a world-class experience.","","","","Barcelona, Spain  •  Virtual Event","Spain","Europe","","","","","","","Global Knowledge Sharing (GlobalKS)","http://www.globalks.org","","","USA","","https://10times.com/company/global-knowledge-sharing"
