"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"16/07/2024","10Times","https://10times.com/bmi-global-education-fairs-middle-east-dubai","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 27 - Sat, 28 Sep 2024","UAE Education Fair Dubai","UAE Education Fair Dubai, Join the UAE's biggest international education fair. Meet top-ranked universities, business schools, and high schools from countries. Participate in expert seminars and discover a diverse range of courses from the UAE and abroad.","","","","
                    Crowne Plaza Dubai, Dubai, UAEGet Directions","United Arab Emirates","West Asia","","","","","","","BMI Group","https://bmiglobaled.com/","","","UK","","https://10times.com/company/bmi-media"
"16/07/2024","10Times","https://10times.com/bmi-global-education-fairs","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 30 Sep 2024","UAE Education Fair Abu Dhabi","Join the UAE’s biggest international education fair. Meet 100+ top-ranked universities, business schools and high schools from 20+ countries. Participate in expert seminars and discover a diverse range of courses from the UAE and abroad.","","","","
                    Sheraton Abu Dhabi Hotel & Resort, Abu Dhabi, UAEGet Directions","United Arab Emirates","West Asia","","","","","","","BMI Group","https://bmiglobaled.com/","","","UK","","https://10times.com/company/bmi-media"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","United Arab Emirates","West Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/education-show-sharjah","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 09 - Sat, 12 Oct 2024","International Education Show","""The education industry trade event""The International Education Show is a highly anticipated event for students, as higher education is crucial for economic competitiveness. It serves as a platform for institutions to find talented students interested in pursuing various specializations at reputable institutions around the world. The education sector in the region is seeing growth in enrollment and institutions.","","","","
                    Expo Centre Sharjah, Sharjah, UAEGet Directions","United Arab Emirates","West Asia","","","","","","","Expo Centre Sharjah","http://www.expocentresharjah.org","","","UAE","","https://10times.com/company/expo-centre-sharjah-uae"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","United Arab Emirates","West Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/icteldubai","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 26 - Sun, 27 Oct 2024","International Conference on Teaching, Education & Learning (ICTEL)","""Collaborate to co-create""Join Dr. Lynne Celli, Higher Education Executive and Adjunct Professor at Boston College, for a Vernacular Session at an upcoming conference. Explore the topic of The Mindful Leader and learn about social-emotional development. Only English-language papers will be considered for publication. Don't miss this opportunity for professional growth and networking.","","","","
                    Flora Creek Deluxe Hotel Apartments, Dubai, UAEGet Directions","United Arab Emirates","West Asia","","","","","","","Eurasia Research","https://eurasiaresearch.org/","","","India","","https://10times.com/company/protobex-asia-expo"
"16/07/2024","10Times","https://10times.com/icbehss-uj","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 27 - Sun, 28 Jul 2024","International Conference on Education, Business, Humanities and Social Sciences","GSRD is organizing ICEBHS to provide a platform for knowledge and idea sharing in the field of Science, Engineering & Technology. Selected papers will be published in conference proceedings and reputed Scopus/SCI/WoS/UGC Care listed journals.","","","","Dubai, UAE","United Arab Emirates","West Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/gess","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 12 - Thu, 14 Nov 2024","Global Educational Supplies & Solutions Dubai (GESS Dubai)","GESS Dubai is the top education conference and exhibition in the Middle East, held in partnership with the Ministry of Education and under the patronage of His Highness. It features an exhibition, conference, and awards ceremony for educators seeking modern classroom solutions.","","","","
                    Dubai World Trade Centre, Dubai, UAEGet Directions","United Arab Emirates","West Asia","","","","","","","Tarsus Group","https://www.tarsus.com/","","","UAE","","https://10times.com/company/f-e-tarsus-group-limited"
"16/07/2024","10Times","https://10times.com/education-investment-summit","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 13 - Thu, 14 Nov 2024","Education Investment MENA","The premier education investment conference in MENA brings together key players in the education industry for networking and partnership opportunities. It focuses on all levels of education and explores market potential. Attend to connect with industry leaders, participate in interactive sessions, and stay informed on the latest education advancements.","","","","
                    Sheraton Grand Hotel, Dubai, Dubai, UAEGet Directions","United Arab Emirates","West Asia","","","","","","","Informa Markets","https://www.informamarkets.com","","","UAE","","https://10times.com/company/informa-exhibitions-middle-east"
"16/07/2024","10Times","https://10times.com/belc","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 12 - Fri, 16 Aug 2024","Building Education and Leadership Capacity : A Practical Guide to Academic Transformation (BELC)","All Events in Dubai","","","","Dubai,											UAE","United Arab Emirates","West Asia","","","","","","","Centre for Public Service Productivity and Development","http://centreforproductivity.org","","","Nigeria","","https://10times.com/company/centre-for-public-service-productivity-and-development"
