"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"16/07/2024","10Times","https://10times.com/aae-higher-education-spring-fair-hochiminhcity","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 21 Sep 2024","AAE Higher Education Fair","Exhibitors will showcase products and services like Higher Education, educational services, and to that of private high schools services associated with this field.","","","","Ho Chi Minh, Vietnam","Vietnam","Southeast Asia","","","","","","","Access American Education","http://aaeducationusa.com","","","USA","","https://10times.com/company/access-american-education-llc"
"16/07/2024","10Times","https://10times.com/e1dd-kz43-r0fz-0","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 16 - Sat, 17 Aug 2024","International Conference of TESOL & Education","The 4th International Conference of TESOL & Education invites educators, researchers, and language enthusiasts to explore the theme of 'Implementations of AI Tools for Language Teaching and Learning.' Join us to shape the future of language education with transformative ideas and hands-on workshops.","","","","
                    Van Lang University - Campus 3, Ho Chi Minh, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Vietnam","Southeast Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/aae-higher-education-spring-fair","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 22 Sep 2024","AAE Higher Education Fair","Exhibitors will showcase products and services like Higher Education, educational services, and to that of private high schools services associated with this field.","","","","Hanoi, Vietnam","Vietnam","Southeast Asia","","","","","","","Access American Education","http://aaeducationusa.com","","","USA","","https://10times.com/company/access-american-education-llc"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Vietnam","Southeast Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/e1z2-h5zd-3s2f","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 10 Nov 2024","International Education Fair","Discover how to study abroad in 2024 at our free fair! Learn about study destinations, universities, admission preparation, and more. Meet representatives from various countries and institutions. Get answers to all your questions in English with local language interpreters available. Don't miss this opportunity!","","","","
                    Lotte Legend Hotel Saigon, Ho Chi Minh, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","Begin Group","http://begingroup.com","","","Germany","","https://10times.com/company/begingroup"
"16/07/2024","10Times","https://10times.com/e1z5-h8z2-d5zr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 09 Nov 2024","International Education Fair Hanoi","Explore study abroad opportunities at the free fair at Hotel du Parc Hanoi. Learn about universities and language schools, admission requirements, scholarships, and more. Meet representatives from various countries like USA, Germany, Switzerland, and more. Interpreters available. Admission and registration are free.","","","","
                    Hotel du Parc Hanoi, Hanoi, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","Begin Group","http://begingroup.com","","","Germany","","https://10times.com/company/begingroup"
"16/07/2024","10Times","https://10times.com/e1z3-r3sh-12fd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 09 - Sat, 10 Aug 2024","International Conference On Research In Management And Technovation","All Events in Hanoi","","","","Hanoi, Vietnam","Vietnam","Southeast Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/iacebmss-ho-chi-minh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Fri, 09 Aug 2024","International Academic Conference on Economics, Business Management & Social Sciences (IACEBMSS)","Ho Chi Minhtp. Thủ Dầu Một","","","","
                    Orchids Saigon Hotel, 											Tân Phú, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","Scienceglobe","http://scienceglobe.org","","","India","","https://10times.com/company/scienceglobe"
"16/07/2024","10Times","https://10times.com/for-non-finance-mgr-training-vietnam","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 05 - Tue, 06 Aug 2024","Finance For Non-Finance Managers","All Events in Ho Chi Minh","","","","Ho Chi Minh, Vietnam","Vietnam","Southeast Asia","","","","","","","Riverstone Training","http://www.riverstonetraining.com.sg/","","","","","https://10times.com/company/riverstone-training"
"16/07/2024","10Times","https://10times.com/financial-modeling-training-ho-chi-minh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 07 - Thu, 08 Aug 2024","Financial Modeling in Excel","""Best Financial Modeling Training in Vietnam""Build your career with our industry-related courses. Gain insights into creating financial models using Microsoft Excel, checks, audits, and analysis. Equip with tools for complex business decision making. Non-theoretical methodology with interactive discussions, case studies. Trainers with vast industry experience. Module-wise detailed course structure provided.","","","","Ho Chi Minh, Vietnam","Vietnam","Southeast Asia","","","","","","","Riverstone Training","http://www.riverstonetraining.com.sg/","","","","","https://10times.com/company/riverstone-training"
"16/07/2024","10Times","https://10times.com/theme-park-expo-vietnam","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 28 - Thu, 29 Aug 2024","Theme Park Expo Vietnam","""The Vietnamese Theme Park and Attractions Industry""'Meet Vietnam's leading buyers in the theme park, water park, gaming, amusement centers, and attractions industry. Fireworks Trade Media Co., Ltd. is a prominent trade media company in Southeast Asia, providing excellent media and business opportunities'.","","","","
                    Trung tâm hội nghị - tiệc cưới Pavillon Tân Sơn Nhất, Ho Chi Minh, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","Fireworks Trade Media Pte Ltd (Asia)","http://www.asiafireworks.com","","","","","https://10times.com/company/fireworks-event-m-sdn-bhd"
"16/07/2024","10Times","https://10times.com/e1dd-21gh-0hh8-f","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Fri, 09 Aug 2024","Basic Excel Training","Build your career with industry-related courses. Excel introductory training covers basic concepts, common functions, and practical knowledge. Ideal for professionals wanting to enhance their Excel skills. Interactive sessions, experienced trainers, and comprehensive curriculum ensure a thorough understanding of Excel. Master Excel in a short time!","","","","Ho Chi Minh,											Vietnam","Vietnam","Southeast Asia","","","","","","","Riverstone Training","http://www.riverstonetraining.com.sg/","","","","","https://10times.com/company/riverstone-training"
"16/07/2024","10Times","https://10times.com/icabmis-da-nang","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 07 Aug 2024","International Conference on Advances in Business Management and Information Science (ICABMIS)","Da Nang","","","","Da Nang, Vietnam","Vietnam","Southeast Asia","","","","","","","International Institution for Science Technology Engineering and Management","http://iistem.org","","","India","","https://10times.com/company/international-institution-for-science-technology-engineering-and-management"
"16/07/2024","10Times","https://10times.com/begin-edu-fair-ho-chi-minh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 10 Nov 2024","Begin Edu Fair-Ho Chi Minh City","All Events in Ho Chi Minh","","","","
                    Lotte Legend Hotel Saigon, Ho Chi Minh, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","Begin Group","http://begingroup.com","","","Germany","","https://10times.com/company/begingroup"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Vietnam","Southeast Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/e1x0-s1rp-1z2k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Fri, 26 Jul 2024","Asian Legal History Conference","","","","","
                    University School of Law - University of Hue, Huế,  VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","University of Oxford","http://www.ox.ac.uk","","","UK","","https://10times.com/company/university-oxford"
"16/07/2024","10Times","https://10times.com/e1d3-d1d1-r6zs-f","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 04 - Sat, 10 Aug 2024","The Axion Quest Conference ICISE","Qui Nhơn","","","","
                    International Center for Interdisciplinary Science and Education, 											Qui Nhơn, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","International Center for Interdisciplinary Science and Education","http://rencontresduvietnam.org","","","Vietnam","","https://10times.com/company/international-center-for-interdisciplinary-science-and-education"
"16/07/2024","10Times","https://10times.com/begin-edu-fair","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 09 Nov 2024","Begin Edu Fair- Hanoi","This event targets students and parents seeking international study programs and institutions. Lead generation campaigns will be run for each institution via search engines, social media, and emailings.","","","","
                    Pullman Hanoi, Hanoi, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","Begin Group","http://begingroup.com","","","Germany","","https://10times.com/company/begingroup"
"16/07/2024","10Times","https://10times.com/vietnam-medi-pharm-hanoi","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 05 - Sat, 07 Dec 2024","Vietnam Medipharm Expo","""International Medical & Pharmaceutical Exhibition""The Vietnam Medipharm Expo is a top medical and pharmaceutical exhibition in Vietnam, where global and local companies showcase their latest advancements, technology, equipment, and products such as pharmaceuticals, medical equipment, and cosmetics.","","","","
                    Center International Trade Fair Hanoi I.C.E, Hanoi, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","VIETNAM NATIONAL TRADE FAIR & ADVERTISING COMPANY","http://vinexad.com.vn/","","","Vietnam","","https://10times.com/company/vietnam-advt"
"16/07/2024","10Times","https://10times.com/e1rk-1p3k-0r5r","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 20 - Thu, 22 Aug 2024","Corporate Credit Analysis Masterclass","Riverstone offers industry-related courses in finance and other areas, with pre-structured or custom-made training options. Choose in-person or online classes, including E-learning programs. Instructor-led sessions with case studies and interactive components. Tailor-made content available for company needs. Post-training support and certificate provided upon completion.","","","","
                    Hotel Pullman Saigon Centre, 											Ho Chi Minh,											VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","Riverstone Training","http://www.riverstonetraining.com.sg/","","","","","https://10times.com/company/riverstone-training"
"16/07/2024","10Times","https://10times.com/private-equity-training-ho-chi-minh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 14 - Fri, 16 Aug 2024","Private Equity Masterclass","""Best Private Equity Masterclass Training in Vietnam""Build your career with our industry-related courses. The objective is to provide knowledge and understanding of equity investments in the private equity industry. Curriculum includes total investment, due diligence, monitoring, negotiation processes, case studies, and interactive discussions. Suitable for professionals seeking a career in private equity.","","","","Ho Chi Minh, Vietnam","Vietnam","Southeast Asia","","","","","","","Riverstone Training","http://www.riverstonetraining.com.sg/","","","","","https://10times.com/company/riverstone-training"
"16/07/2024","10Times","https://10times.com/ciemb","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 17 - Fri, 18 Oct 2024","International Conference on Contemporary Issues in Economics, Management and Business (CIEMB)","Join us for the International Conference on Contemporary Issues in Economics, Management and Business in Hanoi, Vietnam. Scholars from various fields will exchange and present research on stimulating sustainable global growth. Selected papers will be published in ISI and SCOPUS indexed journals. Submit your paper now!","","","","
                    National Economics University, Hanoi, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","National Economics University","http://en.neu.edu.vn","","","Vietnam","","https://10times.com/company/national-economics-university"
"16/07/2024","10Times","https://10times.com/e1x5-p6s1-s6sf","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 21 - Fri, 23 May 2025","VietOffice Expo - The International Exhibition for Smart Office Solutions, Office Equipment and Stationery...","""The first and only Smart Office Solutions, Office Equipment and Stationery industry show in Vietnam""International Exhibition of Smart Office Solutions, Equipment, Machines and Stationery featuring modern products and technologies. Connect with businesses, expand network, and explore industry trends. Join as sponsor or visitor to discover latest in office technology and stationery products.","","","","
                    International Centre of Exhibition (I.C.E ), Hanoi, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Vietnam","Southeast Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/e1dd-g04s-dg5z-7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 15 - Fri, 19 Jul 2024","Pan Asia Number Theory Conference","The Pan Asia Number Theory Conference 2024, organized by VIASM, aims to showcase recent developments in number theory in Asia and promote collaboration among Asian mathematicians. Previous conferences have been held in various countries.","","","","
                    Vietnam Institute for Advanced Study in Mathematics, Hanoi, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Vietnam","Southeast Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/e1dd-0g3h-3k5z-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 02 - Wed, 04 Sep 2024","Advanced Excel for Professional","The course will provide a detailed explanation of the basic concepts and swiftly moves to an advanced level to teach new concepts even to Excel pros. The course is designed to ensure that complex ideas are delivered to participants, thereby supporting them in building a solid base needed to create advanced Excel spreadsheets. The course also offers a deep insight into Excel's various functions and complicated formulas, thereby delivering a better understanding of financial analysis and modeling. In addition, the course also covers finance-specific formulas that are important in performing financial analysis.","","","","Ho Chi Minh,											Vietnam","Vietnam","Southeast Asia","","","","","","","Riverstone Training","http://www.riverstonetraining.com.sg/","","","","","https://10times.com/company/riverstone-training"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Vietnam","Southeast Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/e1dd-px48-4h5r-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 15 - Wed, 16 Oct 2024","Leadership and Management in Higher Education: Innovations and Strategies in Global Context","""Leaders, professionals, experts, researchers and educational practitioners""- Sub-themes: Leadership and entrepreneurship in higher education: Strategies approaches and best practices Quality assurance and accreditation in higher education Research, development and innovations in higher education Design, implementation and assessment of innovative technologies in higher education: Artificial intelligence and emerging technologies Industry and university partnership for sustainable development: Strategies, programs, services and funding- Language used: English- Format: In person - Time: October 15-16, 2024- Venue: 35 Le Thanh Ton, District 1, Ho Chi Minh City, Vietnam","","","","
                    SEAMEO RETRAC, Ho Chi Minh, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/project-finance-training-vietnam","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 18 - Fri, 20 Sep 2024","Project Finance Modeling (PFM)","All Events in Ho Chi Minh","","","","Ho Chi Minh, Vietnam","Vietnam","Southeast Asia","","","","","","","Riverstone Training","http://www.riverstonetraining.com.sg/","","","","","https://10times.com/company/riverstone-training"
"16/07/2024","10Times","https://10times.com/e1r3-44k9-rzps","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 19 - Wed, 21 Aug 2024","Corporate Fundraising Masterclass","Build your career with our industry-related courses. The course equips you with a comprehension of various industry standards, strategies, and practices in corporate fundraising. It covers detailed funding options, fundraising strategies, and the role of various advisors in fundraising.","","","","Ho Chi Minh, Vietnam","Vietnam","Southeast Asia","","","","","","","Riverstone Training","http://www.riverstonetraining.com.sg/","","","","","https://10times.com/company/riverstone-training"
"16/07/2024","10Times","https://10times.com/valuation-training-vietnam","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 28 - Fri, 30 Aug 2024","Corporate Valuation: Techniques & Applications","""Best Valuation Training in Vietnam""Industry-related courses covering business valuation methodologies, process, importance, and implications on decision making. Practical topics, interactive discussions, case studies, assignments. Experienced trainers. Modules cover valuation methods, free cash flows, cost of capital, DCF approach, multiples method, complex companies analysis, practical exercises.","","","","Ho Chi Minh, Vietnam","Vietnam","Southeast Asia","","","","","","","Riverstone Training","http://www.riverstonetraining.com.sg/","","","","","https://10times.com/company/riverstone-training"
"16/07/2024","10Times","https://10times.com/e1dh-fx0s-9s0z-8","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 02 - Sun, 04 Aug 2024","Asia Meeting of the Econometric Society, East & Southeast Asia","2024 Asia Meeting of the Econometric Society, East & Southeast Asia hosted by Ho Chi Minh City University of Banking. Accepting papers for in-person meeting. Scientific Program Co-Chairs: Nobuhiro Kiyotaki. Local Organizing Committee Co-Chair: Duc Trung Nguyen. Keynote speakers include distinguished professors from various universities.","","","","
                    Ho Chi Minh City (Vietnam), Ho Chi Minh, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","Sciencesconf.org","http://sciencesconf.org","","","France","","https://10times.com/company/sciencesconforg"
"16/07/2024","10Times","https://10times.com/e1dd-2g0h-kp4h-8","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 14 - Fri, 16 Aug 2024","Corporate Finance Masterclass","The Course will provide participants with a structured process and methodology to analyze and understand financial information and improve their analytical skills. The curriculum is designed to ensure that complex concepts are delivered to participants in a simple way, and it becomes easy for them to remember and implement these ideas in their current job and business decision-making.","","","","
                    Hotel Pullman Saigon Centre, 											Ho Chi Minh, VietnamGet Directions","Vietnam","Southeast Asia","","","","","","","Riverstone Training","http://www.riverstonetraining.com.sg/","","","","","https://10times.com/company/riverstone-training"
