"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/e1x0-s1p0-g4dx","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 08 - Fri, 12 Jul 2024","International Conference on Artificial Intelligence in Education (AIED)","","","","","Recife","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-0px5-ps4g-7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 08 - Fri, 12 Jul 2024","International Conference on Artificial Intelligence in Education (AIED)","","","","","Recife","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e12x-r9dk-3xd8","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 11 - Sat, 13 Jul 2024","International Conference in Information Technology & Education","","","","","Recife","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/office-brazil-school","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 04 - Wed, 07 Aug 2024","Escolar Office Brazil (Escolar OfficeBrazil)","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icef-latin-america","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 03 - Sat, 05 Oct 2024","Icef Brazil","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-rs55-x1z9-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 08 - Fri, 12 Jul 2024","International Conference on Artificial Intelligence in Education (AIED)","","","","","Recife","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-5ss3-zr2p-7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 11 - Sat, 13 Jul 2024","Digital Transformation in the Teaching and Learning Process (DTLP')","","","","","Recife","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/rio-hiv-clinical-forum-rio-de-janeiro","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 07 Aug 2024","Rio HIV Clinical Forum","","","","","Rio de Janeiro","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/bett-latin-summit","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 28 Apr - Thu, 01 May 2025","Bett Brasil","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1kx-1h8p-3pg2","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 17 - Sat, 20 Jul 2024","BRAZ-TESOL International Conference","","","","","Goiânia","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/incosmetics-sao-paulo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 25 - Thu, 26 Sep 2024","In-Cosmetics Latin America","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/basic-compliance-ethics-academy-brazil","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Thu, 29 Aug 2024","Basic Compliance & Ethics Academy Brazil","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xh-g16h-x32z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 20 - Wed, 24 Jul 2024","Annual Computational Neuroscience Meeting & Forum (Annual CNS Meeting)","","","","","Natal","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Brazil","South America","","","","","","","","","","","",""
