"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/icem-toronto","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 21 - Mon, 22 Jul 2024","International Conference on Education & Management (ICEM)","","","","","Toronto","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/international-education-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 23 - Thu, 25 Jul 2024","Canada International Conference on Education (CICE)","","","","","Toronto","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/cemc-conference-for-computer-educators","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 13 - Thu, 15 Aug 2024","Conference for Computer Studies Educators (CEMC Conference for Computer Educators)","","","","","Waterloo","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/career-education-settlement-fair-calgary","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 07 Aug 2024","Canadian Immigrant Fair: Careers, Education, Settlement","","","","","Calgary","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/mcmaster-symposium","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 11 - Fri, 12 Jul 2024","McMaster Symposium on Education and Cognition","","","","","Hamilton","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icebm-canada","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 16 - Sun, 18 Aug 2024","International Conference on Education, Business & Management","","","","","Calgary","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icebhs-ottawa","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 28 - Mon, 29 Jul 2024","International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)","","","","","Ottawa","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/canfitpro-toronto","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 09 - Sat, 10 Aug 2024","Canfitpro Global Conference and Tradeshow","","","","","Toronto","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/public-education-symposium","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 24 - Sat, 25 Jan 2025","Public Education Symposium","","","","","Toronto","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/etfo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 12 - Thu, 15 Aug 2024","ETFO Annual Meeting","","","","","Toronto","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/career-fair-edmonton","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 24 Jul 2024","Edmonton Job Fair & Training Expo (Edmonton Career Fair & Training Expo)","","","","","Edmonton","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/cicebm","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 20 - Sun, 22 Sep 2024","International Conference on Education, Business & Management (ICEBM)","","","","","Montreal","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icebhs-montreal","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 - Tue, 30 Jul 2024","International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)","","","","","Montreal","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/education-career-fairs-vancouver","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 04 Dec 2024","Education & Career Fairs","","","","","Vancouver","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1sz-09p2-2rdr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 08 - Fri, 12 Jul 2024","Symposium on Machine Learning and Dynamical Systems","","","","","Toronto","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/higher-and-education","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 23 - Mon, 25 Nov 2024","Higher Education Summit","","","","","Toronto","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/education-career-fair-calgary","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 23 Jan 2025","Education Career Fair","","","","","Calgary","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iclice-canada","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Fri, 26 Jul 2024","International Conference on Language, Innovation, Culture, and Education (ICLICE)","","","","","Ottawa","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/annual-indigenous-education-conference-vancouver","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 12 - Sat, 14 Dec 2024","Annual FNESC Education Conference","","","","","Vancouver","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/montreal-private-school","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 15 Sep 2024","Montreal Private School Expo","","","","","Montreal","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icem-vancouver","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 21 - Fri, 22 Nov 2024","International Conference on Education & Management (ICEM)","","","","","Richmond","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d5-2d32-zzxd-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 21 - Fri, 23 Aug 2024","Flourish: A Positive Education Conference","","","","","Saint Catharines","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/national-education-fair","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 17 - Fri, 18 Oct 2024","The National Education Fair","","","","","Montreal","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Canada","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k0-7r57-ffdh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 04 - Thu, 05 Sep 2024","World Nursing Congress","","","","","Mississauga","Canada","North America","","","","","","","","","","","",""
