"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/icebhs-copenhagen","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 - Wed, 17 Jul 2024","International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1x1-1p35-rzdx","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Sun, 21 Jul 2024","International Conference on Applied Research in Education (iARECONF)","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1x4-p9f4-r9px","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Sun, 21 Jul 2024","International Conference on Future of Business, Management and Economics","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xh-1r8d-5z0k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 14 - Fri, 16 Aug 2024","Scandinavian Actuarial Conference","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xz-52g3-4xhp","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Fri, 26 Jul 2024","Managing Strategic Alliances and Partnerships","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dh-d21x-5fz1-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 20 - Sat, 27 Jul 2024","ILAE School on Advanced EEG and Epilepsy in Dianalund","","","","","Dianalund","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1x0-1p4f-7zsh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Sun, 21 Jul 2024","International Conference on Future of Social Sciences and Humanities","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/bigmun","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 19 - Sun, 23 Feb 2025","BIGMUN Conference","","","","","Birkerød","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e13x-gkr0-rp17","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Sat, 20 Jul 2024","World Conference on Computer and Information Technology (WCCIT)","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icmph-copenhagen","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 - Wed, 17 Jul 2024","International Conference on Medical, Pharmaceutical and Health Sciences (ICMPH)","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iccabes-copenhagen","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 - Wed, 17 Jul 2024","International Conference on Chemical, Agricultural, Biological and Environmental Sciences (ICCABES)","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icogp-copenhagen","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 - Wed, 17 Jul 2024","International Conference on Oil, Gas and Petrochemistry (ICOGP)","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d2-d0x4-z8fr-s","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 10 - Sat, 13 Jul 2024","Society for the Scientific Study of Reading Thirty First Annual Conference","","","","","Frederiksberg","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1x4-72h2-phzx","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 10 - Sat, 13 Jul 2024","SSSR Annual Conference","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xz-sgs2-82k7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 27 - Fri, 30 Aug 2024","International Conference on the Practice and Theory of Automated Timetabling","","","","","Lyngby","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/fpgaworld-copenhagen","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 12 Sep 2024","FPGAworld Conference Copenhagen","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/presidents-summit","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 10 - Wed, 11 Jun 2025","Presidents Summit","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dh-353f-2zrp-f","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 12 - Sun, 15 Sep 2024","OTIS Annual Education Meeting","","","","","Nyborg","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e13d-fskx-p1d4-6","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 14 - Fri, 16 Aug 2024","Nordic Conference for the Sociology of Religion","","","","","Aarhus","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/octn","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 01 - Wed, 02 Oct 2024","Outsourcing In Clinical Trials & Clinical Trial Supply Nordics","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/art-fair-copenhagen","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 29 Aug - Sun, 01 Sep 2024","Chart Art Fair","","","","","Copenhagen","Denmark","Europe","","","","","","","","","","","",""
