"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/e1xs-35rd-3g1g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 26 - Sun, 28 Jul 2024","International conference on Teaching, Learning and Education","","","","","Dublin","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1z3-x0r2-x6sd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Sat, 27 Jul 2024","Leadership for Professional Learning Symposium","","","","","Dublin","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/irish-academy-management-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 28 - Thu, 29 Aug 2024","Irish Academy Of Management Conference","","","","","Cork","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/education-buildings-ireland","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 06 - Thu, 07 Nov 2024","Education Buildings Ireland","","","","","Dublin","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iseh-galway","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 11 - Sun, 18 Aug 2024","International Symposium on Environment and Health","","","","","Galway","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/aslfl","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 21 - Sun, 28 Jul 2024","International Youth Leadership Conference","","","","","Maynooth","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/active-over-50s-show-cork","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 10 - Wed, 11 Sep 2024","50 Plus expo Cork","","","","","Cork","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d0-d3g1-s8hx-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 15 - Fri, 19 Jul 2024","Emergence of Classicality: New Perspectives on Measurements in Quantum Theory","","","","","Dublin","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/national-ploughing-championships-stradbally","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 17 - Thu, 19 Sep 2024","National Ploughing Championships","","","","","Tullamore","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-00gh-2s1f-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Tue, 23 Jul 2024","Chemical Biology Ireland Conference","","","","","Galway","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-151r-5dzz-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 14 - Fri, 19 Jul 2024","Sligo","","","","","Sligo","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e12x-hrpf-k318","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 12 - Thu, 15 Aug 2024","ECPR General Conference","","","","","Dublin","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e15r-g2d0-gsf1","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 Jul - Fri, 02 Aug 2024","Leadership for Life Conference","","","","","Maynooth","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/eair-annual-forum-cork","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 21 - Fri, 23 Aug 2024","EAIR Annual Forum","","","","","Cork","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e12k-pxxx-z407","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 22 - Fri, 23 Aug 2024","International Research Conference","","","","","Goatstown","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/jobs-expo-galway","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 28 Sep 2024","Jobs Expo","","","","","Galway","Ireland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/glas","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 18 Jul 2024","Garden Landscape Amenity Showcase (GLAS)","","","","","Dublin","Ireland","Europe","","","","","","","","","","","",""
