"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"16/07/2024","10Times","https://10times.com/e1r3-k7h4-d8df","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 17 - Sat, 19 Oct 2024","Worldview Education Fair - Johannesburg (WEF)","","","","","Johannesburg","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1dd-g3s0-d49s-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 07 Aug 2024","Entrepreneurship Education in Africa Summit","","","","","Roodepoort","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1dd-k1z0-d4x4-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 17 - Fri, 19 Jul 2024","Southern African Computer Lecturers' Association (SACLA)","","","","","Port Elizabeth","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/aisa-conference-cape-town","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 31 Oct - Sun, 03 Nov 2024","Association of International Schools in Africa Conference (AISA Conference)","","","","","Cape Town","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/cssa-cape-town","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 17 - Fri, 19 Jul 2024","Cyber Security Symposium Africa (CSSA)","","","","","Cape Town","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e15d-hfgp-2hx2-5","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 01 - Tue, 06 Aug 2024","IAU GA and National Science Week","","","","","Cape Town","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e14r-pxf7-gf47","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 09 Sep 2024","MBA Expo","","","","","Johannesburg","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/african-mining-indaba","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 03 - Thu, 06 Feb 2025","Investing in African Mining Indaba","","","","","Cape Town","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d3-2d4r-4frs-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 17 - Fri, 19 Jul 2024","SACLA: Southern African Computer Lecturers' Association","","","","","Port Elizabeth","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/bio-africa-convention","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 24 - Tue, 27 Aug 2024","Bio Africa Convention","","","","","Durban","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e10r-dxx7-hd35","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 23 - Sun, 25 Aug 2024","Music School of the Future Conference","","","","","Grahamstown","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1rh-px56-5f1x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 05 - Thu, 08 Aug 2024","MBALI International Conference","","","","","Richards Bay • Online","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/whale-festival","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 26 - Sun, 29 Sep 2024","Hermanus Whale Festival (WhaleFestival)","","","","","Hermanus","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/access-masters-johannesburg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 09 Dec 2024","Access Masters Event Johannesburg (Exclusive Masters Event)","","","","","Sandton","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d4-f0s2-s3pd-r","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 19 - Fri, 23 Aug 2024","Annual AEAA Conference","","","","","Cape Town","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1kk-hd14-1g8f","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 03 Sep 2024","Celebrating Health Sciences Education Conference","","","","","Cape Town","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1z3-x1p2-7hkg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Fri, 30 Aug 2024","Training Course on Effective Project Management Skills (Short Course which equips the participant with the)...","","","","","Pretoria","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1s1-x6s4-f6kr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 05 - Wed, 07 Aug 2024","Southern Africa Conference","","","","","Cape Town","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e11z-kph8-p0f3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 23 - Sat, 24 Aug 2024","Emigration Expo","","","","","Pretoria","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1k1-k8p2-p3ds","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 21 Sep 2024","Traders Fair South Africa (TF South Africa)","","","","","Sandton","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1x0-8z13-fzhd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 15 - Fri, 16 Aug 2024","Kaaps Symposium","","","","","Cape Town","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e12r-z9zf-1ks1","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Fri, 30 Aug 2024","Training on Quantitative Data Management and Analysis using SPSS","","","","","Pretoria","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1z3-d6x4-g9sd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 12 - Fri, 16 Aug 2024","Epidemiological Data Analysis Using STATA Course","","","","","Bloemfontein • Online","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/access-mba-cape-town","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 07 Dec 2024","Access MBA One-to-One MBA Event Cape Town (Meet your dream universities)","","","","","Cape Town","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1dd-xs17-3zx5-x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 01 - Sun, 04 Aug 2024","SASMARS Conference","","","","","Stellenbosch","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1dd-z374-xkd1-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 21 - Fri, 26 Jul 2024","International Conference on Mercury as a Global Pollutant","","","","","Cape Town","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1r5-f4f2-d5rk","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Fri, 30 Aug 2024","Leadership Skills in Changing Modern Environment","","","","","Pretoria","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1z4-7x3z-8hhk","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Fri, 30 Aug 2024","Effective Strategy Development for SMEs and Start-up Ventures","","","","","Pretoria","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1zx-gx52-1g3k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Fri, 30 Aug 2024","Project Management and Certification (Training Course in PRINCE2 which is an internation)","","","","","Pretoria","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d5-d9k3-h4rd-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 20 - Fri, 23 Aug 2024","IEASA Conference","","","","","Kempton Park","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/franschhoek-literary-festival","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 16 - Sun, 18 May 2025","Franschhoek Literary Festival","","","","","Cape Town","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d0-h6f5-k6zk-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 12 - Sat, 14 Sep 2024","SAPA National Conference","","","","","Kempton Park","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1dd-15gs-27df-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 02 - Fri, 04 Oct 2024","HETL Conference","","","","","Port Elizabeth","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","South Africa","Africa","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1zx-p48f-17gh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Fri, 30 Aug 2024","Managing Successful Programmes for Profit and Not for Profit Organizations (Training Course in Managing Successful Programmes)...","","","","","Pretoria","South Africa","Africa","","","","","","","","","","","",""
