"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/national-education-summit","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 02 - Sat, 03 Aug 2024","National Education Summit Brisbane","The National Education Summit Brisbane is a two-day conference where principals, school leaders, and educators from K-12 can join together. It features interactive seminars by experts and thought leaders in the education sector. The event includes innovative conferences, workshops, and seminars, as well as an education-focused free trade expo called The Education Show. Educators can earn professional development hours by attending the event and choose from various symposiums and seminars. The Education Show showcases cutting-edge resources, programs, support services, and technology. Attendees also have the opportunity to attend free seminars delivered by experts.","","","","
                    Brisbane Convention & Exhibition Centre, Brisbane, AustraliaGet Directions","Australia","Oceania","","","","","","","International Exhibition & Conference Group Pty Ltd","","","","","","https://10times.com/company/iec-group-pty-ltd"
"12/07/2024","10Times","https://10times.com/sepla-special-education","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Tue, 23 Jul 2024","SEPLA Special Education Conference (SEPLA-CON)","""Voice! 2021 ASEPA Conference and SEPLA-CON21""SEPLA-CON 2024 is a professional development event for education professionals in Primary, Secondary, and Special School settings. The theme reflects changes in the education system and offers opportunities to build on knowledge and practice. Join us for two days of learning and networking.","","","","
                    International Convention Centre Sydney (ICC Sydney), Sydney, AustraliaGet Directions","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/ieaa-transnational-education-forum","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Fri, 26 Jul 2024","IEAA Transnational Education Forum","Join IEAA's Transnational Education Network Forum to discuss TNE strategy, management, policy, and compliance with legal requirements. Network with industry professionals and gain valuable insights. Register yourself and guests to earn fellowship points. IEAA aims to empower professionals and enhance Australia's education reputation.","","","","
                    Victoria University City Flinders Campus, Melbourne, AustraliaGet Directions","Australia","Oceania","","","","","","","International Education Association Inc.","http://www.ieaa.org.au","","","Australia","","https://10times.com/company/international-education-association-inc"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/edu-tech-summit","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 13 - Wed, 14 Aug 2024","EduTECH Congress & Expo","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k5-6x24-zfsd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 14 - Wed, 17 Jul 2024","International Transforming Education Conference","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/north-shore-schools-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 - Sun, 04 Aug 2024","The North Shore Schools Expo (North Shore ISE)","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iconfebss","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 Aug 2024","International Conference on Education, Business and Social Science (ICONFEBSS)","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/annual-stem-education-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 30 - Wed, 31 Jul 2024","Annual STEM Education Conference","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icebhs","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Fri, 26 Jul 2024","International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1rg-05k1-p8xh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 18 Jul 2024","ICT in Schools Summit QLD","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iconfebss-brisbane","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 13 Jul 2024","International Conference on Education, Business and Social Science (ICONFEBSS)","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/sydney-disability-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 02 - Sat, 03 Aug 2024","Sydney Disability Expo (SDE)","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1zd-4gz0-d4x2","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 14 - Thu, 15 Aug 2024","International Congress on Education and Learning (CEL)","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/iconfebss-sydney","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 27 Jul 2024","International Conference on Education, Business and Social Science (ICONFEBSS)","","","","","","Australia","Oceania","","","","","","","","","","","","",""
