"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/e1dd-51kh-1xx2-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 17 - Fri, 19 Jul 2024","Leadership for Professional Learning Symposium Educators and Professionalism in Turbulent Ti","The Leadership for Professional Learning Symposium focuses on educators and professionalism in turbulent times. Participants will engage in school site visits and discussions on leading sustainable professional learning cultures. The symposium welcomes in-person and online attendees, with a special issue published by the Professional Development in Education Journal.","","","","
                    LILIENFELD CORREDORES DE SEGUROS LTDA, Santiago, ChileGet Directions","Chile","South America","","","","","","","University of Florida","http://www.ufl.edu","","","USA","","https://10times.com/company/university-of-florida"
"12/07/2024","10Times","https://10times.com/e1dd-khx0-949x-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 24 - Fri, 26 Jul 2024","Research Committee on Urban and Regional Development Conference","Join the RC21 Conference 2024 to explore urban struggles and power dynamics within cities worldwide. Analyze global conflicts and interactions between the Global North and South. Foster debates on inequalities, solidarities, and urban processes. Open call for session proposals.","","","","
                    Pontifical Catholic University of Chile, Campus Lo Contador, Santiago, ChileGet Directions","Chile","South America","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Chile","South America","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e1x4-2f20-ghhk","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 14 - Thu, 18 Jul 2024","Annual Conference of the History of Economics Society","","","","","","Chile","South America","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Chile","South America","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e1d0-74h1-dhkr-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 09 - Sun, 14 Jul 2024","Joint ICOHTEC-SHOT Annual Meeting","","","","","","Chile","South America","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/siad-santiago-centro","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 27 - Fri, 29 Sep 2023","SIAD Santiago","","","","","","Chile","South America","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e144-1ddh-fsfd-8","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Thu, 25 Jul 2024","Regional Workshop to Coordinate the Implementation of Integrated Nuclear Security Sustainability Plans","","","","","","Chile","South America","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xh-1pr4-p3s9","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 25 - Wed, 28 Aug 2024","Annual Conference of the International Society for Environmental Epidemiology","","","","","","Chile","South America","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d4-d5k5-z9rk-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 05 - Fri, 06 Sep 2024","Shingo LATAM Conference","All Events in Santiago","","","","
                    Hyatt Centric Las Condes Santiago, Santiago, ChileGet Directions","Chile","South America","","","","","","","Utah State University","","","","","","https://10times.com/company/utahstate-university"
