"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/latin-expo-quito","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 14 Apr 2025","Latin Expo Quito","ISN events attract top academic students able to pay for education in the US. Representatives meet qualified students at student fairs and high schools. ISN services include student databases and digital marketing. COVID-19 waiver acknowledges risks. Institutions must follow up with student leads post-event.","","","","Quito, Ecuador","Ecuador","South America","","","","","","","International Student Network Inc","http://isnexpo.com","","","USA","","https://10times.com/company/international-student-network-inc"
"12/07/2024","10Times","https://10times.com/exp-libro","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 18 - Sun, 22 Sep 2024","Guayaquil International Book Fair","""INTERNATIONAL BOOK FAIR IN ECUADOR""The Feria Internacional del Libro Guayaquil is a book fair held at the Centro de Convenciones Guayaquil. It showcases a wide range of books and literature, attracting book lovers and industry professionals.","","","","
                    Expoplaza, 											Guayaquil, EcuadorGet Directions","Ecuador","South America","","","","","","","Expoplaza","http://www.expoplaza.ec","","","Ecuador","","https://10times.com/company/expoplaza"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Ecuador","South America","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e1d3-93d4-xrzd-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Thu, 12 Sep 2024","International Conference of Systems and Smart Technologies (CI3)","","","","","4º Pasaje 1 NE, Guayaquil","Ecuador","South America","","","","","","","","","","","","",
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Ecuador","South America","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e1d1-d8r0-rs2s-f","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Thu, 12 Sep 2024","CI3: International Conference of Research and Innovation","CI3 aims to share outcomes of ongoing projects and research in various Higher Education Institutions, research centers, and the global business sector, promoting collaboration and knowledge exchange on a global scale.","","","","Guayaquil,											Ecuador","Ecuador","South America","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/smarttech-ic","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 02 - Wed, 04 Dec 2024","International Conference on Smart Technologies, Systems and Applications (SmartTech-IC)","The SmartTech-IC is an international conference aiming to bring together researchers, scientists, and technologists to share research results and innovative applications in Smart Science. It provides a platform for technical collaboration and welcomes papers on topics like AI, Machine Learning, and Robotics.","","","","
                    Universidad Politécnica Salesiana, Campus-El Girón, 											Quito,											EcuadorGet Directions","Ecuador","South America","","","","","","","Universidad Politecnica Salesiana","http://www.ups.edu.ec","","","Ecuador","","https://10times.com/company/universidad-politecnica-salesiana"
"12/07/2024","10Times","https://10times.com/ici-st","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 06 - Fri, 08 Nov 2024","International Conference on Information Systems and Software Technologies (ICI2ST)","The Fifth International Conference on Information Systems and Software Technologies (ICI2ST 2024) aims to bring together researchers, speakers, and industry practitioners to discuss cutting-edge research in areas such as security, privacy, business intelligence, and continuous software engineering. Join us for a dynamic exchange of ideas and knowledge.","","","","
                    Escuela Politecnica Nacional, 											Quito,											EcuadorGet Directions","Ecuador","South America","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d2-f4sk-2gg3-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 17 - Sat, 19 Oct 2024","International Conference on Demographic Transition Health and Technologies (ICDTHT)","ICDTHT conference will take place in Salinas, Ecuador. Submit your articles to be presented and published in the conference! ICDTHT´24 - International Conference on Demographic Transition, Health and Technologies Articles indexing - Scopus and WoS.","","","","
                    Estatal Península de Santa Elena (UPSE), La Libertad, 											EcuadorGet Directions","Ecuador","South America","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-sx4x-4r4s-3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 14 - Fri, 15 Nov 2024","Bilingualism, Bilingual Education, and Social (Sociolinguistic/Political) Conflict (Biuned)","The previous editions focused on challenges, limits, and solutions of bilingualism and interculturality, bilingualism and migration, and the intersection of bilingualism and bi.","","","","
                    Universidad Nacional de Educación a Distancia, Cuenca, 											EcuadorGet Directions","Ecuador","South America","","","","","","","National Distance Education University (UNED)","http://www.uned.es/cristamine/fichas/casiterita/casiterita","","","Spain","","https://10times.com/company/national-distance-education-university-spain"
