"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/edu-gate","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 04 - Tue, 06 Aug 2024","EDUGATE","""Enter The Future""EDUGATE is a leading educational service and consultancy firm that focuses on higher education and skills development in the Middle East and North Africa region. It vows to achieve leadership in developing high education to unprecedented standards. By providing consultancies to education institutions and orienting freshmen to select the most appropriate career, facilitating student enrollment, and by gathering international, public, and private educational institutions and training centers, it raises the bar of education to serve local and international work markets and provide them with the most skilled and enthusiastic elements.","","","","
                    Royal Maxim Palace Kempinski Cairo, Cairo, EgyptGet Directions","Egypt","Africa","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icess-cairo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 12 - Sat, 13 Jul 2024","International Conference on Education and Social Science (ICESS)","The 1782nd International Conference on Education and Social Science (ICESS) offers a platform for researchers, academicians, and students to share findings and establish collaborations. Organized by The International Society for Engineers and Researchers (ISER), the event includes invited lectures, Best paper awards, and published proceedings with ISBN Numbers.","","","","
                    Cairo International Convention Centre, Cairo, EgyptGet Directions","Egypt","Africa","","","","","","","ISER","http://www.iser.co","","","India","","https://10times.com/company/iser-india"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Egypt","Africa","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/wefc","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 19 Nov 2024","Worldview Education Fair - Cairo (WEF)","All Events in Cairo","","","","Cairo, Egypt","Egypt","Africa","","","","","","","Worldview International Group","http://www.worldviewevents.com","","","UK","","https://10times.com/company/worldview-uk-limited"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Egypt","Africa","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e1df-s08x-sg08-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 30 Jul - Thu, 01 Aug 2024","EDUHUB Expo","""Connecting students with Universities for the best higher education choices""Egypt's biggest higher education event that helps more than 70 Universities and higher education institutions from 14 countries to connect with thousands of students by providing a comprehensive platform to directly engage and network over a 3 days exhibition.","","","","
                    Triumph Luxury Hotel, Cairo, EgyptGet Directions","Egypt","Africa","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/hace-hotel-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 02 - Wed, 04 Sep 2024","HACE Hotel Expo","HACE Hotel Expo is Egypt's largest and most prominent international trade fair, specializing in hotel supplies and furnishings, catering supplies, bakery, pastry, and ice cream equipment, Super Market equipment, cleaning equipment, and all the necessities for small and large businesses across the hospitality sectors. It has further established itself as the official networking hub for the exchange of business, information, education, world-class technology and tools, supplies, and service within Egypt's hotel, hospitality, and catering fields.","","","","
                    Cairo International Convention Centre, Cairo, EgyptGet Directions","Egypt","Africa","","","","","","","HACE","http://www.hace.com.eg","","","Egypt","","https://10times.com/company/egyptian-group-for-marketing"
"12/07/2024","10Times","https://10times.com/pharmaconex","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 08 - Tue, 10 Sep 2024","Pharmaconex Exhibition (Pharma-conex)","""Unveiling Africa's Pharma Growth Opportunities""Pharmaconex is Africa's pharmaceutical manufacturing hub, connecting the entire supply chain in Egypt, the largest producer of pharmaceuticals in the MENA region. It offers a 365-day marketplace for our communities to interact, network, and build knowledge around the latest industry trends through physical and online opportunities. Pharmaconex is held in association with CPhI, the world's largest pharmaceutical exhibition with over 30 years of experience.","","","","
                    Egypt International Exhibition Center, Cairo, EgyptGet Directions","Egypt","Africa","","","","","","","Informa Markets - Egypt","https://www.informa.com","","","Egypt","","https://10times.com/company/informa-egypt"
"12/07/2024","10Times","https://10times.com/e1dd-k1kf-k9x0-7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 20 - Sun, 21 Jul 2024","Egyptian Pediatric Critical Care Congress","Join us for the Egyptian Pediatric Critical Care Congress with Prof. Tarek Abd El-Gawad and Prof. Manal Hamdy El Sayed. This event will feature case presentations, educational updates, and valuable insights from renowned professors in the field. Don't miss this opportunity to enhance your knowledge in pediatric critical care medicine.","","","","
                    TOLIP Golden Plaza Hotel, Almazah,  EgyptGet Directions","Egypt","Africa","","","","","","","CCG","https://www.ccg-eg.org/","","","Egypt","","https://10times.com/company/ccg"
"12/07/2024","10Times","https://10times.com/technesummit","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 05 - Tue, 08 Oct 2024","Techne Summit (TS)","Techne Summit is an international multi-industry focused Investment & Entrepreneurship event that aims to impact multiple sectors and stakeholders of the Startup Communities in The Mediterranean Region through showcasing different technologies and their application in each industry.","","","","
                    Bibliotheca Alexandrina Conference Center (BACC), Alexandria, EgyptGet Directions","Egypt","Africa","","","","","","","","","","","","",""
