"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/jubi-youth-educationfair-berlin","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 14 Sep 2024","Berlin Youth Education Fair (The Youth Education Fair)","","","","","","Germany","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/jubi-youth-munich","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 12 Oct 2024","JuBi - The Youth Education Fair","","","","","","Germany","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Germany","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/jubi-youth-frankfurt","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 07 Sep 2024","Jubi - Youth Education Fair Frankfurt","","","","","","Germany","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Germany","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/jubi-youth-hamburg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 14 Sep 2024","Jubi - Youth Education Fair Hamburg","","","","","","Germany","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xz-20g4-9hpr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 09 - Sun, 11 Aug 2024","International Education Conference","","","","","","Germany","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/cesifo-area-conference-on-economics-education","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 13 - Sat, 14 Sep 2024","CESifo Area Conference on the Economics of Education","","","","","","Germany","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/jubi-youth-educationfair-magdeburg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 19 Oct 2024","Youth Education Fair","","","","","","Germany","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icebhs-berlin","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 - Sun, 04 Aug 2024","International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)","","","","","","Germany","Europe","","","","","","","","","","","","",""
