"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/e1k2-3p5x-1ksf","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Mon, 22 Jul 2024","The International Conference on Education and Educational Technologies (EET)","Agios NikolaosHeraklion","","","","Agios Nikolaos, Greece","Greece","Europe","","","","","","","INASE","http://www.inase.org","","","USA","","https://10times.com/company/inase"
"12/07/2024","10Times","https://10times.com/e1kg-r12p-z0g1","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Mon, 22 Jul 2024","The International Conference on Education and Educational Technologies (EET)","HeraklionCreteAgios Nikolaos","","","","Heraklion, Greece","Greece","Europe","","","","","","","INASE","http://www.inase.org","","","USA","","https://10times.com/company/inase"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Greece","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/conference-kinesiology-exercise","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 Jul - Thu, 01 Aug 2024","Annual International Conference on Sport & Exercise Science","""A Conference on Kinesiology & Exercise Sciences""The conference aims to unite scholars and students from various fields of applied and integrated sports and exercise science.","","","","
                    Athens Institute For Education and Research (ATINER), Athens, GreeceGet Directions","Greece","Europe","","","","","","","Athens Institute for Education & Research","http://www.atiner.gr","","","Greece","","https://10times.com/company/aier"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Greece","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/annual-international-conference-on-social-sciences","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 Jul - Thu, 01 Aug 2024","Annual International Conference on Social Sciences","","","","","","Greece","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/conference-onphysics-chemistry","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Thu, 25 Jul 2024","International Conference on Physics","""The International Conference on Physics & Chemistry""This conference unites physics academics and researchers for sharing and presenting papers. Attendees can participate as stream organizers, presenters, session chairs, or observers. Education and research discussions are included.","","","","
                    Athens Institute For Education and Research (ATINER), Athens, GreeceGet Directions","Greece","Europe","","","","","","","Athens Institute for Education & Research","","","","","","https://10times.com/company/aier"
"12/07/2024","10Times","https://10times.com/conference-smallmedium-enterprises","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 Jul - Thu, 01 Aug 2024","Annual International Conference on SMEs, Entrepreneurship and Innovation: Management - Marketing - Economic - Social Aspects...","","","","","","Greece","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/conference-on-education","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 07 - Thu, 10 Jul 2025","Annual International Symposium on Higher Education in a Global World","","","","","","Greece","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/steam-athens","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Thu, 25 Jul 2024","Annual International Symposium on the Future of STEAM Education","","","","","","Greece","Europe","","","","","","","","","","","","",""
