"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/world-education-congress","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 11 - Fri, 12 Jul 2024","World Education Congress (WEC)","World Education Congress will be a rendezvous, in which participants will discuss 'Evolving Trends in Education'. The congress will examine modern as well as traditional knowledge systems. The Congress will further explore how education can help develop mental, emotional, and physical skills to help facilitate personal excellence as well as psychological and Socio-economic wellbeing, in the challenging times the world faces today. Besides networking opportunities, the conference offers unique in-depth approaches to understanding important academic issues that affect an Institution's viability in today's fast-paced business environment.","","","","
                    Taj Lands End, Mumbai, IndiaGet Directions","India","South Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k5-44f2-dfsd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 09 Aug 2024","Global Hospitality Education Expo","Global Hospitality Education Expo is India's largest hospitality-focused higher education expo, expo, is a highly popular event among Indian students. It provides a platform for students interested in the hospitality industry to connect with industry leaders and top hotel and culinary schools.","","","","Mumbai, India","India","South Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","India","South Asia","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/icem-mumbai","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 22 - Fri, 23 Aug 2024","International Conference on Education & Management (ICEM)","""Academic Research International Conference""IAARHIES 413th International Conference on Education & Management (ICEM) invites academics and researchers to submit papers on various topics in the field.","","","","
                    The Retreat Hotel and Convention Centre, Mumbai, IndiaGet Directions","India","South Asia","","","","","","","The Society for Academic Research","http://www.iaarhies.org","","","India","","https://10times.com/company/society-for-academic-research"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","India","South Asia","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/igef-new-delhi","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 30 Aug 2024","INBA Global Education Fair (IGEF)","""The Ultimate Meeting Place for Globally Renowned Schools & Aspiring Indian Students""INBA Global Education Fair is a global education fair organized by the Government of India, featuring representatives from Australia, Europe, the UK and the United States. The event will be offering a platform for students to explore study opportunities abroad.","","","","New Delhi, India","India","South Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iclice-visakhapatnam","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 12 Jul 2024","International Conference on Language, Innovation, Culture, and Education (ICLICE)","","","","","","India","South Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e14z-fdg2-fh18","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 22 Oct 2024","International Education Fair","","","","","","India","South Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1kf-dfz2-21g9","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 31 Aug 2024","Global Engineering Education Expo","The Global Engineering Education Expo is a leading event for future engineers, offering a chance for students to engage with top institutions and discover cutting-edge programs in Engineering and Technology. Over 10,000 students have benefited from this impactful expo. Zista Events also hosts specialized events in Art and Design, STEM, and Hospitality.","","","","Bengaluru, India","India","South Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icramnh-noida","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 31 Jul 2024","International Conference on Recent advancement in Medical Education, Nursing, and Health Sciences (ICRAMNH)...","","","","","","India","South Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/et-tech-x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 05 - Sat, 07 Dec 2024","Education Resources & Technology Exhibition (ET Tech X)","","","","","","India","South Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iclice-hyderabad","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 14 Jul 2024","International Conference on Language, Innovation, Culture, and Education (ICLICE)","","","","","","India","South Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/worlddidac-india-newdelhi","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 18 - Fri, 20 Sep 2024","DIDAC India","","","","","","India","South Asia","","","","","","","","","","","","",""
