"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/e1xs-35rd-3g1g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 26 - Sun, 28 Jul 2024","International conference on Teaching, Learning and Education","There are many reasons to join, but here are just a few. The agenda is designed by a diverse group of expert committee members. It addresses the most significant questions in the areas of early childhood education, public education policy, machine learning, theory and practice of physical education development, and more. Our prestigious panel of speakers will guide the discussion for maximum engagement, offering you a unique opportunity to learn from your peers from all around the world. Finally, it is your chance to share your knowledge with thousands of members of our network, be it through paper publications, poster presentations, or networking sessions.","","","","
                    DCU - Dublin City University, Dublin, IrelandGet Directions","Ireland","Europe","","","","","","","Universiti Putra Malaysia","","","","","","https://10times.com/company/universiti-putra-malaysia-faculty-of-educational-studies"
"12/07/2024","10Times","https://10times.com/e1z3-x0r2-x6sd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Sat, 27 Jul 2024","Leadership for Professional Learning Symposium","","","","","","Ireland","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Ireland","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/irish-academy-management-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 28 - Thu, 29 Aug 2024","Irish Academy Of Management Conference","","","","","","Ireland","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Ireland","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/education-buildings-ireland","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 06 - Thu, 07 Nov 2024","Education Buildings Ireland","The Education Buildings Ireland 2022 event is a unique opportunity for professionals involved in education infrastructure to gather and share insights. Speakers with expertise in education provision will offer valuable perspectives for those involved in building and managing educational facilities.","","","","
                    RDS Hall 1, Dublin, IrelandGet Directions","Ireland","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iseh-galway","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 11 - Sun, 18 Aug 2024","International Symposium on Environment and Health","","","","","","Ireland","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/aslfl","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 21 - Sun, 28 Jul 2024","International Youth Leadership Conference","","","","","","Ireland","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/active-over-50s-show-cork","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 10 - Wed, 11 Sep 2024","50 Plus expo Cork","","","","","","Ireland","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d0-d3g1-s8hx-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 15 - Fri, 19 Jul 2024","Emergence of Classicality: New Perspectives on Measurements in Quantum Theory","","","","","","Ireland","Europe","","","","","","","","","","","","",""
