"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"16/07/2024","10Times","https://10times.com/education-fair-korea","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 15 - Fri, 17 Jan 2025","Education Korea","""The Future is Education""Education Korea is an education and career fair and one of the most important fairs of its kind in the region. The fair is held in Seoul every year. Exhibitors showcase the latest achievements, facilities, and technologies. It provides important information and technical material for educational institutions as well as providers in the areas of teaching and learning materials, teaching methods, education institutions, and e-learning. It is also a great platform for the exchange of knowledge and experience. The fair is aimed at professionals, students, pupils, and their parents. They can see the full range of products and services for modern education here.","","","","
                    COEX, Seoul, South KoreaGet Directions","Korea","East Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/study-abroad-emigration","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 21 - Sun, 22 Sep 2024","International Education & Emigration Fair","The largest event showcasing studying abroad, working abroad, emigration, and foreign investment brings together schools and associations from five countries.","","","","
                    Coex 513, Yeongdong-daero,Gangnam-gu, Seoul, 06164, Republic of Korea, Seoul, South KoreaGet Directions","Korea","East Asia","","","","","","","Coex","http://www.coex.co.kr","","","South Korea","","https://10times.com/company/coex"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Korea","East Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/icebhs-seoul","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 20 - Sun, 21 Jul 2024","International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)","""Join us to get a better Platform""International Conference on Education, Business, Humanities and Social Sciences facilitating knowledge exchange among Students, Engineers, Researchers, and Scientists. Proceedings with ISBN archived and submitted to journals with ISSN for publication. Associated with UGC Care and Scopus, providing paper publication opportunities in reputed journals.","","","","
                    Hotel Skypark Kingstown Dongdaemun, Seoul, South KoreaGet Directions","Korea","East Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Korea","East Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/e-learning-expo-korea","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 23 - Wed, 25 Sep 2024","Edtech Korea Fair","""E-Learning and education information policies""The EdTech Korea Fair is a B2B exhibition specializing in education and edutech.","","","","
                    COEX Convention Center, Seoul, South KoreaGet Directions","Korea","East Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/mba-conference-seoul","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 22 Aug 2024","Access MBA One-to-One Event in Seoul (AccessMBA Seoul)","""Find your MBA in person on Nov 10.""One to one & small group meetings with business schools. Resume or LinkedIn profile upload recommended. Access MBA Tour connects qualified candidates with admissions directors of top business schools. Free pre-event guidance and school matching. Opportunity to win GMAT course, scholarships, and other incentives.","","","","
                    Hotel Naru Seoul MGallery Ambassador, 											Jikhalsi, South KoreaGet Directions","Korea","East Asia","","","","","","","Advent Group","http://adventgroup.net","","","France","","https://10times.com/company/advent-group-paris"
"16/07/2024","10Times","https://10times.com/e1zd-hz55-4zf1","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 16 - Fri, 18 Oct 2024","International Conference on Advance Education","It will be held at Seoul, Aouth Korea. is being organized by Research Foundation to provide an opportunity to research scholars, delegates and students to interact and share their experience and knowledge in Advance Education. will provide an excellent international forum for sharing knowledge and results in Engineering. The aim of the Conference is to provide a platform to the researchers and practitioners from both academia as well as industry to meet the share cutting-edge development in the field.","","","","
                    Sheraton Seoul D Cube City Hotel, Seoul, South KoreaGet Directions","Korea","East Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d1-d5r4-f5xx-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 13 - Wed, 14 Aug 2024","International Conference on Management, Education and Emerging Technology (MEET Conference)","""Navigating the Future""The objective of an international conference on management, education, and emerging technology is to provide a platform for researchers, academicians, professionals, and industry experts to come together and exchange ideas, knowledge, and experiences in these key areas. The conference aims to foster collaboration and innovation, addressing challenges and exploring opportunities for advancements in management practices, education systems, and emerging technologies.","","","","Seoul, South Korea","Korea","East Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1zh-5fh6-r1d3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Sat, 10 Aug 2024","Korea International EduPlus Week","All Events in Seoul","","","","
                    Coex Halls A & B, Seoul, South KoreaGet Directions","Korea","East Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/rsele","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 16 - Sun, 17 Nov 2024","International Conference on Research in Social Science, Economic, Law and Education (RSELE)","Opportunity to become a volunteer session moderator or reviewer for the advisory board. Authors can display posters at the event, with specific size requirements. Presenters allocated 15-20 minutes for presentation, with Q&A sessions. All paper sessions held in conference venue with necessary equipment provided.","","","","
                    Crown Park Hotel Seoul, Seoul, South KoreaGet Directions","Korea","East Asia","","","","","","","ROEES","http://roees.org/","","","South Korea","","https://10times.com/company/roees"
"16/07/2024","10Times","https://10times.com/e10x-zd8g-dp35","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 18 - Sat, 20 Jul 2024","The Busan Baby Childcare Education Products Exhibition","All Events in Busan","","","","
                    Busan Exhibition and Convention Center, Busan, South KoreaGet Directions","Korea","East Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1x2-0z19-dhpf","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 18 - Sun, 21 Jul 2024","Busan Baby Fair & Infant Educational Products Exhibition","All Events in Busan","","","","
                    Busan Exhibition and Convention Center, Busan, South KoreaGet Directions","Korea","East Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d2-230d-hhdk-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 18 - Sat, 20 Jul 2024","Busan Baby Fair & Infant Educational Product Exhibition","Join us for an unforgettable evening filled with live music, delicious food, and exciting games. This event is perfect for friends and family looking to have a fun and memorable time together.","","","","
                    Busan Exhibition and Convention Center, Busan, South KoreaGet Directions","Korea","East Asia","","","","","","","","","","","","",""
