"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/onderwijsbeurs-zuid-nederland","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 27 - Sat, 28 Sep 2024","Education Fair","Come to Onderwijsbeurs Zuid and discover everything about study choices at the vocational, higher education, and university levels. Find your dream study or gap year at this event with a large selection of educational institutions.","","","","
                    Hotel NH Eindhoven Conference Centre Koningshof, Eindhoven, NetherlandsGet Directions","Netherlands","Europe","","","","","","","Organization Groep Zuid bv","http://www.ogz.nl","","","Netherlands","","https://10times.com/company/ogz"
"12/07/2024","10Times","https://10times.com/e1k4-0p0h-0rzg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 10 - Fri, 12 Jul 2024","International Conference on Learning","Thirty-First International Conference on Learning, Utrecht University, Utrecht, Netherlands, July 10 - 12, 2024. Founded in 2011, The Learner Research Network is brought together around a common concern for learning in all its sites, formal and informal, and at all levels, from early childhood to schools, colleges and universities, and adult, community and workplace education. We seek to build an epistemic community where we can make linkages across disciplinary, geographic, and cultural boundaries. As a Research Network, we are defined by our scope and concerns and motivated to build strategies for action framed by our shared themes and tensions.","","","","
                    Utrecht University, 											Utrecht, NetherlandsGet Directions","Netherlands","Europe","","","","","","","Common Ground Research Networks","","","","","","https://10times.com/company/common-ground-publishing"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Netherlands","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/sanssecureeurope","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 19 - Sat, 24 Aug 2024","SANS Amsterdam","All Events in Amsterdam","","","","
                    Amsterdam Marriott Hotel, 											Amsterdam,											NetherlandsGet Directions","Netherlands","Europe","","","","","","","The Sans Institute","","","","","","https://10times.com/company/the-sans-institute"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Netherlands","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e1z2-55f7-fsgr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 02 - Thu, 03 Oct 2024","EDUtech Europe (EDUtechEurope)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iebs-amsterdam","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 24 - Sun, 25 Aug 2024","International Conference on Innovation and Entrepreneurship, Business Sustainability, Economics & Social Sciences (IEBS)...","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/pems","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 27 - Sun, 28 Jul 2024","International Conference on Performance Indicators in Business, Economics, Management & Social Sciences Research (PEMS)...","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e11d-hd4z-g2ks-5","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Fri, 26 Jul 2024","Summer School on the Ethics of Influence","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1r2-147x-dxxg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Fri, 26 Jul 2024","Certified Ethical Hacker (CEH)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
