"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/tti","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 22 - Fri, 23 May 2025","Teaching Translation and Interpreting Conference","The 7th international conference on TEACHING TRANSLATION AND INTERPRETING (TTI 7) will be held at the University of Lodz. The conference will focus on trends and challenges in the translation profession, professional development for translators and interpreters, technology in translation education, and more.","","","","
                    Faculty of Philology, University of Lodz, 											Łódź, PolandGet Directions","Poland","Europe","","","","","","","University of Lodz","http://www.uni.lodz.pl","","","Poland","","https://10times.com/company/university-of-lodz"
"12/07/2024","10Times","https://10times.com/ekotech","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 03 - Fri, 06 Sep 2024","Fair of Environmental Protection and Waste Management (EKOTECH)","Highlights include discussions on challenges for recycling photovoltaic panels and lithium-ion batteries, the deposit system, and the International Waste Management Forum. Exhibitors showcase solutions for waste management, circular economy, and ecological education.","","","","
                    Targi Kielce, Kielce, PolandGet Directions","Poland","Europe","","","","","","","Targi Kielce","http://www.targikielce.pl","","","Poland","","https://10times.com/company/kielce-trade-fairs"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Poland","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/hpci-central-europe","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 25 - Thu, 26 Sep 2024","HPCI Central and Eastern Europe","""The Home & Personal Care Ingredients Exhibition and Conference.""HPCI Central and Eastern Europe is the leading trade fair for the home and personal care industry. It features international exhibitors showcasing ingredients, raw materials, and solutions for formulating products. The event also offers educational programs and workshops. Safety measures are in place to ensure the health of participants.","","","","
                    EXPO XXI WARSZAWA, Warsaw, PolandGet Directions","Poland","Europe","","","","","","","Vincentz Network GmbH & Co. KG.","http://www.vincentz.de","","","Germany","","https://10times.com/company/vincentz-network-gmbh"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Poland","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e1x3-p6z3-7hfp","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Fri, 30 Aug 2024","The International Conference on Physics Education","All Events in Kraków","","","","
                    Jagiellonian University, Kraków, PolandGet Directions","Poland","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xs-r59z-s56x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Fri, 13 Sep 2024","International Conference on Education, Culture, and Society","","","","","","Poland","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icabe-szczecin","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 12 - Sat, 14 Sep 2024","International Conference on Applied Business and Economics (ICABE)","","","","","","Poland","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/trako","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 23 - Fri, 26 Sep 2025","International Railway Fair - Trako","","","","","","Poland","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/ampere-nmr-school","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 08 - Sat, 14 Jun 2025","Ampere NMR School","","","","","","Poland","Europe","","","","","","","","","","","","",""
