"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/e1kf-47dk-1gf6","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 05 - Mon, 07 Oct 2024","Middle East Education & Training Exhibition (MEETES)","""Middle East Education and Training Exhibition is the ideal event to achieve your goals.""MEETES - Middle East Education and Training Exhibition is the ideal platform for communication between educational service providers, students, and parents. It provides an opportunity for universities, colleges, institutes, and other educational institutions to showcase their educational programs and services to their target audience.Held in Jeddah, the commercial capital of the Saudi Arabia, The exhibition features local and international participations offering a chance for direct interaction, allowing students to know registration and admission requirements and obtain information from representatives of educational institutions. Additionally, it provides an opportunity for participants to establish partnerships with local and international government and private educational entities.","","","","
                    Jeddah International Exhibition and Convention Center, Jeddah, Saudi ArabiaGet Directions","Saudi Arabia","West Asia","","","","","","","ICON Expo","https://iconexpo.com.sa","","","Saudi Arabia","","https://10times.com/company/infysec"
"12/07/2024","10Times","https://10times.com/e11z-k4fg-3dg0","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 03 - Wed, 04 Dec 2024","Education Investment Saudi","The Education Investment Saudi Forum is a premium conference that connects investors, school owners, operators, and regulators to discuss business ideas that align with Vision 2030 and achieve the Kingdom's education outcomes. It offers networking opportunities and information on how to establish new educational institutions.","","","","
                    voco Riyadh, Riyadh, Saudi ArabiaGet Directions","Saudi Arabia","West Asia","","","","","","","Informa Connect","","","","","","https://10times.com/company/informa-connect-SaudiArabia"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Saudi Arabia","West Asia","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e1dh-f54d-kx04-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 13 - Thu, 15 Aug 2024","The International Schools Expo Riyadh","The International Schools Expo brings together private, international, and foreign schools, as well as educational aids and curriculum development providers. It aims to help parents make informed decisions about their child's educational future by showcasing various educational options and resources.","","","","
                    Riyadh Front Exhibitions and Conference Center, Riyadh, Saudi ArabiaGet Directions","Saudi Arabia","West Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Saudi Arabia","West Asia","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e15x-z8rx-3px7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 25 - Mon, 26 Aug 2024","MEDTALK - Educate the Educators Seminar","Join us at the Scientific Seminar on Essential Burn Care and Management to explore the latest advancements in burn emergency response, treatment, skin regeneration, and more. Learn from experts in the field and engage in discussions to enhance the quality of care for burn patients worldwide.","","","","
                    Batterjee Medical College, Dahaban,  Saudi ArabiaGet Directions","Saudi Arabia","West Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/school-exhibition-al-khobar","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 14 Nov 2024","Saudi Arabia - UK Boarding School Information Day","The UK Boarding School Exhibition offers families the opportunity to meet with school representatives, learn about boarding life and educational opportunities. Education Consultants in the Gulf region provide free advice to help families make informed decisions.","","","","
                    Le Meridien Al Khobar, 											Al Khobar, Saudi ArabiaGet Directions","Saudi Arabia","West Asia","","","","","","","Anderson Education","http://www.andersoneducation.co.uk","","","UK","","https://10times.com/company/anderson-education"
"12/07/2024","10Times","https://10times.com/access-mba-riyadh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 09 Dec 2024","One-to-One MBA Event - Riyadh (Secure your future at Access MBA)","""The MBA degree is a truly transformational career and lifestyle experience!""Connect with top business schools in one-to-one and small group meetings at the Access MBA Tour. Receive personalized guidance, meet admissions directors, and participate in panel discussions. Get a chance to win scholarships and valuable incentives to support your MBA journey.","","","","
                    Sheraton Riyadh Hotel & Towers, Riyadh, Saudi ArabiaGet Directions","Saudi Arabia","West Asia","","","","","","","Advent Group","http://adventgroup.net","","","France","","https://10times.com/company/advent-group-paris"
"12/07/2024","10Times","https://10times.com/e1xk-55r2-8kps","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 28 - Mon, 29 Jul 2024","International Conference on Psychology, Language and Teaching (ICPLT)","2024 IIER 1754th International Conference on Psychology, Language and Teaching (ICPLT) will be held in Riyadh, Saudi Arabia during 28th - 29th July, 2024 as the Conference of ICPLT-2024. ICPLT 2024 is sponsored by International Institute of Engineers and Researchers (IIER). It aims to be one of the leading international conferences for presenting novel and fundamental advances in the fields of Psychology, Language and Teaching. It also serves to foster communication among researchers and practitioners working in a wide variety of scientific areas with a common interest in improving Psychology, Language and Teaching related techniques.","","","","
                    Tulip Inn Riyadh, Riyadh, Saudi ArabiaGet Directions","Saudi Arabia","West Asia","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/franchise-expo-riyadh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 27 - Wed, 29 Jan 2025","Saudi Franchise Expo (SFE)","The Saudi Franchise Expo supports the Kingdom's goal of growing non-oil sectors. It also offers guidance and education to local brands interested in franchising globally.","","","","
                    Riyadh International Convention & Exhibition Center, Riyadh, Saudi ArabiaGet Directions","Saudi Arabia","West Asia","","","","","","","Sunaidi Expo & Confernces","http://www.sunaidiexpo.com/","","","Saudi Arabia","","https://10times.com/company/saudihealth-and-beauty"
"12/07/2024","10Times","https://10times.com/e1r1-0p0p-4pzz","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 19 - Fri, 23 Aug 2024","Leadership Skills for Technical Professionals","","","","","Riyadh,											Saudi Arabia  •  Virtual Event","Saudi Arabia","West Asia","","","","","","","Euromatech Training and Management Consultancy","http://www.euromatech.com","","","UAE","","https://10times.com/company/euromatech"
