"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"16/07/2024","10Times","https://10times.com/e1xs-x2h9-z5f9","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Sat, 27 Jul 2024","World Conference on Education and Training","The World Conference on Education and Training (WCET) is a hybrid event happening in Singapore. It will include breakout sessions, poster exhibitions, and discussions on education topics. Attendees will be educators, researchers, administrators, etc. Singapore's renowned education system provides a dynamic setting for the conference, which will cover sciences education, teacher education, management education, and more.","","","","
                    InterContinental,  SingaporeGet Directions","Singapore","Southeast Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/ictel-singapore","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 03 - Tue, 04 Mar 2025","International Conference on Teaching, Education & Learning (ICTEL)","""Collaborate to co-create""The event focuses on challenges of higher education in a post-pandemic world, featuring a professor with expertise in systems engineering, e-learning, and educational sciences. The event will cover topics such as literature, power, ideology, and interdisciplinary possibilities in literary studies.","","","","
                    Kent Ridge Guild House,  SingaporeGet Directions","Singapore","Southeast Asia","","","","","","","Eurasia Research","https://eurasiaresearch.org/","","","India","","https://10times.com/company/protobex-asia-expo"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Singapore","Southeast Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/e15x-rd4d-gd42","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 04 Aug 2024","International Conference on Teaching, Education and New Learning Technologies (ICTENLT)","The ARSSS - ICTENLT International conference on Teaching, Education, and new Learning Technologies provides a platform for researchers, academicians, and students to share their findings with global experts. Best paper awards are given for significant contributions.","","","","Singapore","Singapore","Southeast Asia","","","","","","","Advanced Research Society for Science and Sociology","","","","","","https://10times.com/company/advanced-research-society-for-science-and-sociology"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Singapore","Southeast Asia","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/world-mba-tour","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 17 Aug 2024","Singapore's MBA Fair","All Events in Singapore","","","","
                    Marina Bay Sands Expo,  SingaporeGet Directions","Singapore","Southeast Asia","","","","","","","QS Quacquarelli Symonds Limited","http://www.qs.com","","","UK","","https://10times.com/company/quacquarelli-symonds-ltd-qs"
"16/07/2024","10Times","https://10times.com/e1rf-fz3h-3x47","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 21 - Mon, 22 Jul 2024","International Conference on Medical, Medicine and Health Sciences (ICMMH)","""Conference will cover vital issues in medical, medicine and health sciences under multiplesub-themes""ICMMH is a premier interdisciplinary forum covering vital issues in medical, medicine, and health sciences. Aim to support networking, sharing, publishing, and nurturing growth of scholars globally. Discuss innovations in the field with researchers, practitioners, and educators.","","","","
                    Village Hotel Changi,  SingaporeGet Directions","Singapore","Southeast Asia","","","","","","","International Institute Of Engineers Researchers & Doctors","http://www.iierd.com/","","","India","","https://10times.com/company/international-institute-of-engineers-researchers-doctors"
"16/07/2024","10Times","https://10times.com/edutech-asia","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 06 - Thu, 07 Nov 2024","EduTech Asia","EduTech Asia is not just about speeches and presentations; it's about dialogue and collaboration. It's about forging connections and partnerships that will drive meaningful change in education. It's about sharing insights and experiences that will inspire and empower all educators to be the change-makers the sector needs.","","","","
                    Sands Expo and Convention Centre,  SingaporeGet Directions","Singapore","Southeast Asia","","","","","","","Terrapinn Holdings Ltd.","http://www.terrapinn.com","","","UK","","https://10times.com/company/terrapinn-pte"
"16/07/2024","10Times","https://10times.com/icbef-singapore","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Fri, 09 Aug 2024","International Conference on Business Economics and Finance (ICBEF)","ICBEF conference for researchers, scholars, and students to share knowledge in technology application. Promotes scientific and educational activities in engineering with publication opportunities and recognition through awards and exchange programs.","","","","
                    Village Hotel Changi,  SingaporeGet Directions","Singapore","Southeast Asia","","","","","","","TECHNOARETE INTERNATIONAL","","","","","","https://10times.com/company/technoarete"
"16/07/2024","10Times","https://10times.com/icsstl","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 - Tue, 30 Jul 2024","International Conference on Social Science, Teaching and Learning (ICSSTL)","","","","","Singapore  •  Virtual Event","Singapore","Southeast Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/british-boarding-schools-show-singapore","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 29 Mar 2025","British Boarding Schools Show","","","","","","Singapore","Southeast Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/caa-international-cocoa-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 12 - Fri, 13 Sep 2024","CAA International Cocoa Conference","The Cocoa Association of Asia organized a 2-day physical cocoa event in Singapore with over 500 world-leading players from across the value chain. The conference aimed to reconnect, discuss, and network, with attendees from 60+ countries. The organizer's current role involves educating cocoa farmers on sustainable practices, promoting gender-based issues, and ensuring a balance in sustainable development. They hold an MBA from ESADE Business School and a BA in International Relations and French from San Francisco State University.","","","","
                    Raffles City Convention Centre,  SingaporeGet Directions","Singapore","Southeast Asia","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/icem-singapore-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 22 - Thu, 23 Jan 2025","International Conference on Education & Management (ICEM)","","","","","","Singapore","Southeast Asia","","","","","","","","","","","","",""
