"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"16/07/2024","10Times","https://10times.com/e1r3-k7h4-d8df","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 17 - Sat, 19 Oct 2024","Worldview Education Fair - Johannesburg (WEF)","Worldview Education Fair is dedicated to helping institutions recruit prospective international students from South Africa. This fair is open to all institutions worldwide, helping you meet and recruit a wide pool of quality potential students. Many fairs and exhibitions focus only on recruiters from a specific country, thereby attracting a limited pool of students with predetermined interests in those specific study destinations. The Worldview Education Fair brings institutions from all around the world to one place; giving students more opportunities and options, thereby attracting a larger, more diverse pool of students.","","","","Johannesburg, South Africa","South Africa","Africa","","","","","","","Worldview International Group","","","","","","https://10times.com/company/worldview-uk-limited"
"16/07/2024","10Times","https://10times.com/e1dd-g3s0-d49s-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 07 Aug 2024","Entrepreneurship Education in Africa Summit","Attend the Entrepreneurship Education in Africa Summit to discover best practices in youth entrepreneurship education and engage with educators, policymakers, investors, and young entrepreneurs. Nominate a young entrepreneur for the Anzisha Prize.","","","","
                    African Leadership Academy, Roodepoort,  South AfricaGet Directions","South Africa","Africa","","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","South Africa","Africa","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/e1dd-k1z0-d4x4-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 17 - Fri, 19 Jul 2024","Southern African Computer Lecturers' Association (SACLA)","The submission deadline for the 53rd Annual Conference of the Southern African Computer Lecturers' Association (SACLA) is approaching. The conference will focus on topics such as innovative teaching and learning, humanizing teaching practices, and generative AI for IT education. Nelson Mandela University will host the event.","","","","
                    Boardwalk Conference Center, 											Port Elizabeth, South AfricaGet Directions","South Africa","Africa","","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","South Africa","Africa","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/aisa-conference-cape-town","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 31 Oct - Sun, 03 Nov 2024","Association of International Schools in Africa Conference (AISA Conference)","Join us at the AISA Conference in Cape Town for a transformative experience focused on learning from the past and inspiring the future. Connect with school leaders, educators, and co-professionals to collaborate and build a strong community dedicated to shaping international education in Africa.","","","","
                    CTICC (Cape Town International Convention Centre), Cape Town, South AfricaGet Directions","South Africa","Africa","","","","","","","Association Of International Schools In Africa","","","","","","https://10times.com/company/association-of-international-schools-in-africa-aisa"
"16/07/2024","10Times","https://10times.com/cssa-cape-town","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 17 - Fri, 19 Jul 2024","Cyber Security Symposium Africa (CSSA)","","","","","","South Africa","Africa","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e15d-hfgp-2hx2-5","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 01 - Tue, 06 Aug 2024","IAU GA and National Science Week","","","","","","South Africa","Africa","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e14r-pxf7-gf47","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 09 Sep 2024","MBA Expo","","","","","","South Africa","Africa","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/african-mining-indaba","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 03 - Thu, 06 Feb 2025","Investing in African Mining Indaba","","","","","","South Africa","Africa","","","","","","","","","","","","",""
