"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"16/07/2024","10Times","https://10times.com/ictel-uk","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 10 - Wed, 11 Sep 2024","London International Conference on Teaching, Education & Learning","""Collaborate to co-create""Join Lynne M. Celli, Dean of Graduate and Professional Studies at Lasell University, for insights on Executive Leadership and Training from her 39 years of experience in education.","","","","
                    The Tomlinson Centre, London, UKGet Directions","United Kingdom","Europe","","","","","","","Eurasia Research","https://eurasiaresearch.org/","","","India","","https://10times.com/company/protobex-asia-expo"
"16/07/2024","10Times","https://10times.com/oxford-education-symposium","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 15 - Wed, 17 Jul 2024","Oxford Education Research Symposium","The Symposium at St Anne's College, University of Oxford, is a platform for scholars interested in universal education theory and practice. Present papers and engage in discussions on various aspects of education research. Papers may be published in journals or conference proceedings after peer review.","","","","
                    St. Anne’s College, Oxford, UKGet Directions","United Kingdom","Europe","","","","","","","University of Oxford","http://www.ox.ac.uk","","","UK","","https://10times.com/company/university-oxford"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","United Kingdom","Europe","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/e1r1-x4z5-h3rh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Thu, 25 Jul 2024","CIEC Teaching & Leadership Conference","The Cambridge International Education Conference (CIEC) brings together leading training organizations and distinguished speakers to support teaching professionals in realizing their potential and enhancing their skills and knowledge. This conference offers condensed courses, interactive sessions, and networking opportunities to inspire change and create possibilities in education.","","","","Cambridge, UK","United Kingdom","Europe","","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","United Kingdom","Europe","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/e1d0-d5x5-k0hg-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Thu, 25 Jul 2024","Cambridge International Education Conference","Cambridge International Education Conference (CIEC) brings together leading training organizations and speakers to empower teaching professionals. Sessions are interactive, full of ideas, and aim to boost skills and confidence. Attendees can network, share ideas, and bring actionable strategies back to their schools.","","","","Cambridge, UK","United Kingdom","Europe","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1xp-061f-z0sk","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Sun, 21 Jul 2024","International Conference on Innovation in Teaching and Education","""Diving deep into the most relevant topics in the space of learning and teaching""The program of the event is designed by our scientific committee composed of accomplished scholars and academicians in the field. Representing prestigious educational institutions, the committee members review every abstract submission and only accept abstracts that match the strict requirements for authenticity, relevance, and research depth.","","","","
                    University of Roehampton London, London, UKGet Directions","United Kingdom","Europe","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/education-world-forum","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 18 - Wed, 21 May 2025","Education World Forum","Education World Forum is the largest gathering of education and skills ministers worldwide, featuring three days of insight, inspiration, and sessions led by pioneers, policymakers, and experts.","","","","London, UK","United Kingdom","Europe","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/anaesthetists-as-educators-an-introduction","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 10 Mar 2025","Anaesthetists as Educators an Introduction","Introduction to postgraduate medical education in anaesthesia, teaching methods, and supporting learners. Suitable for trainees, SAS doctors, and consultants without previous teaching training. Preferential rate at Holiday Inn, Bloomsbury.","","","","
                    Holiday Inn London Bloomsbury, London, UKGet Directions","United Kingdom","Europe","","","","","","","Royal College of Anaesthetists","http://www.rcoa.ac.uk","","","UK","","https://10times.com/company/royal-college-anaesthetists"
"16/07/2024","10Times","https://10times.com/e1dh-1hh0-hk35-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Fri, 26 Jul 2024","International Conference on Education and New Developments","International Conference on Education and New Development connecting educators worldwide to explore educational issues, showcase research presentations from diverse cultures, and promote growth in teaching and learning methods. Offering training courses and business consultation services.","","","","London, UK","United Kingdom","Europe","","","","","","","Centre for Public Service Productivity and Development","http://centreforproductivity.org","","","Nigeria","","https://10times.com/company/centre-for-public-service-productivity-and-development"
