"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"16/07/2024","10Times","https://10times.com/global-conference-education","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Fri, 09 Aug 2024","Global Education Conference","The Global Conference on Education is dedicated to advancing theory and practices in education. Present in person or virtually via Zoom, the conference promotes collaborative excellence between academicians and professionals from various educational fields. Panel discussions, research paper presentations, and Session Chair opportunities are available.","","","","
                    University of Riverside, 											Riverside County, USAGet Directions","United States of America","North America","","","","","","","University of Riverside","http://www.uofriverside.com","","","USA","","https://10times.com/company/university-of-riverside"
"16/07/2024","10Times","https://10times.com/exchange-greenville","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 - Thu, 18 Jul 2024","Exchange Conference","The BJU Press Exchange Conference is an annual event for educators to connect and improve their teaching skills. It offers professional development sessions, discussions on best practices, textbook training, and networking opportunities. Participants gain motivation, encouragement, and a deeper understanding of Christ-centered education.","","","","
                    Bob Jones University, 											Greenville, USAGet Directions","United States of America","North America","","","","","","","BJU Press","http://www.bjupress.com","","","USA","","https://10times.com/company/bju-press-united-states-of-america"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","United States of America","North America","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/advancement-mathematics-teaching","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 15 - Wed, 17 Jul 2024","Conference for the Advancement of Mathematics Teaching (CAMT)","""To Foster Excellence in the advancement of Mathematical Studies""The Conference for the Advancement of Mathematics Teaching aims to enhance mathematics education in Texas by organizing an annual event for math teachers and supervisors to improve their knowledge and skills.","","","","
                    George R. Brown Convention Center, Houston, USAGet Directions","United States of America","North America","","","","","","","Conference For The Advancement Of Mathematics Teaching","http://www.camtonline.org","","","USA","","https://10times.com/company/conference-for-the-advancement-of-mathematics-teaching-camt"
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","United States of America","North America","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/icpess-miami","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 23 - Wed, 24 Jul 2024","International Conference on Physical Education and Sport Science (ICPESS)","","","","","Miami","United States of America","North America","","","","","","","","","","","","",
"16/07/2024","10Times","https://10times.com/e1r0-258p-zksx","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 06 - Thu, 08 Aug 2024","Native American Education Conference","The Native American Education Conference is a prestigious event that recognizes Native American high school students for their outstanding leadership, academics, attendance, and community service. Join us for an enriching experience at Central Wyoming College in Riverton.","","","","
                    Central Wyoming College, Riverton,  USAGet Directions","United States of America","North America","","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/icem-san-francisco","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 04 - Mon, 05 Aug 2024","International Conference on Education & Management (ICEM)","IAARHIES 410th International Conference on Education & Management – ICEM – 2024 in San Francisco, USA invites submissions for papers and posters. Topics include centralized/decentralized educational management, authoritarian/democratic educational management, and more. Network, learn, and publish in indexed journals. Registration fees apply.","","","","
                    Crowne Plaza San Francisco Airport, 											Burlingame, USAGet Directions","United States of America","North America","","","","","","","The Society for Academic Research","http://www.iaarhies.org","","","India","","https://10times.com/company/society-for-academic-research"
"16/07/2024","10Times","https://10times.com/national-school-safety-nevada","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 24 - Sun, 28 Jul 2024","Annual National School Safety Conference (National School Safety Nevada)","The National School Safety Conference attracts decision makers and influencers in education, K12 through college, and law enforcement. The National School Safety Conference is the only conference in the nation that allows exhibitors to market to educational, law enforcement, and school safety from kindergarten to college. With an expected attendance of attendees walking the exhibit floor looking for solutions in areas such as access control, video surveillance, panic alarms, anti-violence programs, communication and interoperability, school safety technology, crisis management solutions and much more this is the event your company or organization must be seen at. These decision makers are looking for the solutions you can provide.","","","","
                    Tropicana Las Vegas, Las Vegas, USAGet Directions","United States of America","North America","","","","","","","School Safety Advocacy Council","http://www.schoolsafety911.org","","","USA","","https://10times.com/company/school-safety-advocacy-council"
"16/07/2024","10Times","https://10times.com/wired-differently-conference-san-antonio","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 26 - Sun, 28 Jul 2024","Wired Differently Conference","""Helping Students Who Are Wired Differently Succeed in Inclusive Classrooms""Join the Wired Differently/Trauma-Informed Schools Conference to learn best practices for teaching students with emotional and behavioral challenges. Network with educators, hear from experts, and discover new strategies to support all students. Take home ideas to implement immediately at your school and create your own learning experience.","","","","
                    San Antonio Marriott Rivercenter, San Antonio, USAGet Directions","United States of America","North America","","","","","","","AccuTrain Corporation","http://www.accutrain.com","","","USA","","https://10times.com/company/accutraincorporation"
