"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/e12x-grrp-d959","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Sun, 28 Jul 2024","ACBS World Conference","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d3-8d2r-5dds-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 02 - Fri, 06 Sep 2024","International History, Philosophy and Science Teaching Conference (IHPST)","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/south-american-forum","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 02 - Sun, 04 Aug 2024","South American Business Forum (SABF Conference)","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-3z0p-44zd-x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 05 - Thu, 08 Aug 2024","Dow Sponsored CCPS Process Safety Faculty Workshop","","","","","Bahía Blanca","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e15d-dkpz-r3g1-5","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 29 - Fri, 30 Aug 2024","International Service-Learning Conference","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/aaaeic","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Sat, 10 Aug 2024","Argentine Association of Allergy and Immunology Congress (AAAeIC)","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/caper-show","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 29 - Thu, 31 Oct 2024","Caper Show","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e14x-zpk5-h0d2","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 08 - Fri, 12 Jul 2024","Regional Technical Meeting of the Points of Contact for the Purpose of Facilitating the Import and Export of Radioactive Sources in Accordance with the Guidance on the Import and Export of Radioactive...","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/steplatamconference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 26 - Fri, 27 Sep 2024","STEP Latam Conference","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1x0-r3d0-k9hf","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 23 - Sat, 27 Jul 2024","DSA Conference","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-r080-3fdh-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 24 - Thu, 25 Jul 2024","Annual ICORD Meeting","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/solaci-caci-congress","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 07 - Fri, 09 Aug 2024","SOLACI-CACI Congress","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dh-2fx6-z1z3-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Thu, 12 Sep 2024","Camino a FIESA","","","","","San Martín","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d2-h8f0-7xzh-s","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 04 - Thu, 05 Sep 2024","G&M Mercosur Summit","","","","","Neuquen","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/hotelga-expo-buenosaires","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 28 - Fri, 30 Aug 2024","Hotelga","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-gr01-xg5z-8","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 10 - Fri, 11 Oct 2024","AMISA Leadership Conference","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e11x-d7gk-0xp2","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 03 - Fri, 04 Oct 2024","Third EAGE Workshop on EOR","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/nerdear","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 24 - Sat, 28 Sep 2024","Nerdear.la","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e13k-pdhd-2k37","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 09 Apr 2025","Spring Latin Expo","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-kp59-1z8r-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 25 - Fri, 27 Sep 2024","International Congress","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d3-d4z4-6dgk-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 07 - Fri, 11 Oct 2024","Text Encoding Initiative Conference","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e10x-grrh-3p14","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 09 - Sat, 12 Oct 2024","International USk Symposium","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/ias-steel","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 01 - Thu, 03 Oct 2024","IAS Steel Conference and EXPO IAS","","","","","Rosario","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/mama-expo-buenos-aires","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 08 - Sun, 10 Nov 2024","Ahora Mama Expo","","","","","Buenos Aires","Argentina","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e12d-hds0-dgx0-4","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 14 - Fri, 18 Oct 2024","RFI Conference","","","","","San Carlos de Bariloche","Argentina","South America","","","","","","","","","","","",""
