"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/national-education-summit","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 02 - Sat, 03 Aug 2024","National Education Summit Brisbane","","","","","Brisbane","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/sepla-special-education","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Tue, 23 Jul 2024","SEPLA Special Education Conference (SEPLA-CON)","","","","","Sydney","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/ieaa-transnational-education-forum","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Fri, 26 Jul 2024","IEAA Transnational Education Forum","","","","","Melbourne","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/edu-tech-summit","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 13 - Wed, 14 Aug 2024","EduTECH Congress & Expo","","","","","Melbourne","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k5-6x24-zfsd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 14 - Wed, 17 Jul 2024","International Transforming Education Conference","","","","","Perth","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/north-shore-schools-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 - Sun, 04 Aug 2024","The North Shore Schools Expo (North Shore ISE)","","","","","Sydney","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iconfebss","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 Aug 2024","International Conference on Education, Business and Social Science (ICONFEBSS)","","","","","Glen Waverley","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/annual-stem-education-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 30 - Wed, 31 Jul 2024","Annual STEM Education Conference","","","","","Sydney","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icebhs","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Fri, 26 Jul 2024","International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)","","","","","Sydney","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1rg-05k1-p8xh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 18 Jul 2024","ICT in Schools Summit QLD","","","","","Brisbane","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iconfebss-brisbane","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 13 Jul 2024","International Conference on Education, Business and Social Science (ICONFEBSS)","","","","","Brisbane Airport","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/sydney-disability-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 02 - Sat, 03 Aug 2024","Sydney Disability Expo (SDE)","","","","","Sydney","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1zd-4gz0-d4x2","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 14 - Thu, 15 Aug 2024","International Congress on Education and Learning (CEL)","","","","","Adelaide","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iconfebss-sydney","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 27 Jul 2024","International Conference on Education, Business and Social Science (ICONFEBSS)","","","","","Parramatta","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/careers-expo-lismore","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 30 Jul 2024","Northern Rivers Careers Expo","","","","","Casino","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/melbourne-australian-womens-leadership-symposium","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 09 Aug 2024","Women & Leadership Australia","","","","","Melbourne","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-1gs8-hp53-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Fri, 26 Jul 2024","The Future of Education Summit","","","","","Waterford","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1rs-39kk-3f7p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 07 - Sun, 14 Jul 2024","International Congress on Mathematical Education","","","","","Sydney","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icess-sydney","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 24 - Wed, 25 Sep 2024","International Conference on Education and Social Science (ICESS)","","","","","Sydney","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k0-342z-xkrf","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Tue, 23 Jul 2024","Shutdown School, Perth","","","","","Perth","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-0gd2-zx4r-3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 07 - Sun, 14 Jul 2024","The International Congress on Mathematics Education","","","","","Sydney","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k3-35h3-hffz","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 05 - Tue, 06 Aug 2024","The Leading Edge: Women in Education Conference Brisbane","","","","","Brisbane","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/tertiary-studies-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 13 - Sun, 14 Jul 2024","Tertiary Studies Expo + QLD Work & Skills Expo (TSXPO)","","","","","Brisbane","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/independent-schools-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 - Sun, 04 Aug 2024","Independent Schools Expo","","","","","Sydney","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/tasmanian-state-conference-kingston","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 Jul 2024","Tasmanian State Conference","","","","","Kingston","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/the-acer-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 06 - Fri, 07 Feb 2025","Australian Council for Educational Research Conference (ACER conference)","","","","","Melbourne","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/integrate","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 21 - Fri, 23 Aug 2024","Integrate","","","","","Sydney","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/herald-sun-melbourne-career","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 26 - Sun, 28 Jul 2024","Melbourne Career Expo (MCE)","","","","","Melbourne","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icpess-sydney","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 24 - Wed, 25 Sep 2024","International Conference on Physical Education and Sport Science (ICPESS)","","","","","Sydney","Australia","Oceania","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1z5-h3ds-4k2z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 14 - Sat, 17 Aug 2024","International Conference on English Learning and Teaching","","","","","Adelaide","Australia","Oceania","","","","","","","","","","","",""
