"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/education-travel-vienna","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 19 Oct 2024","Youth Education Fair in Vienna (Youth Education & Travel Fair Vienna)","","","","","Vienna","Austria","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d0-h3d1-r7pr-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 03 Sep 2024","Future Education Conference","","","","","Graz","Austria","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Austria","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k4-s3z1-s2fx","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 10 - Sat, 13 Jul 2024","The European Conference on Positive Psychology","","","","","Innsbruck","Austria","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Austria","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/international-wittgenstein-symposium","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 11 - Sat, 17 Aug 2024","International Wittgenstein Symposium","","","","","Kirchberg am Wechsel","Austria","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xf-43k3-ksr8","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Fri, 26 Jul 2024","Training Course on the Development of Detection and Response Equipment Life Cycle Management Programmes","","","","","Vienna","Austria","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/radiology-summit-austria","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 26 Feb - Sun, 02 Mar 2025","European Congress of Radiology (ECR)","","","","","Vienna • Online","Austria","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1rd-0023-gdrz","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 13 - Mon, 22 Jul 2024","International Physical Theatre Lab And Conference","","","","","Leibnitz","Austria","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/peter-drucker-forum","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 14 - Fri, 15 Nov 2024","Global Peter Drucker Forum","","","","","Vienna","Austria","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e15k-fzfr-x938","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 12 - Fri, 16 Aug 2024","Annual Meeting of the International Nuclear Security Education Network","","","","","Vienna","Austria","Europe","","","","","","","","","","","",""
