"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/china-education-shanghai","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 26 - Sun, 27 Oct 2024","China Education Expo-Shanghai","","","","","Shanghai","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/china-education-beijing","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 30 Oct - Sat, 02 Nov 2024","China Education Expo-Beijing","","","","","Beijing","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1x2-z0k3-s3gh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 15 - Wed, 17 Jul 2024","SSEME workshop on Social Sciences and Education","","","","","Qingdao","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iclice-macau","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 - Sun, 04 Aug 2024","International Conference on Language, Innovation, Culture, and Education (ICLICE)","","","","","Shenzhen","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/toy-and-edu-china","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 07 - Wed, 09 Apr 2025","Shenzhen International Toy & Education Fair (Toy & Edu China)","","","","","Shenzhen","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/china-international-preschool-education-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 16 - Fri, 18 Oct 2024","China Preschool Education Exhibition (China Preschool Expo)","","","","","Shanghai","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/education-expo-chengdu","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 29 Oct 2024","China Education Expo-Chengdu","","","","","Chengdu","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/education-expo-guangzhou","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 25 - Sat, 26 Oct 2024","China Education Expo-Guangzhou","","","","","Guangzhou","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/shanghai-international-school-uniform-exposition","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 12 - Wed, 14 Aug 2024","ISUE International School Uniform and Garden Uniform Exhibition","","","","","Shanghai","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/china-dental-show","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 03 - Fri, 06 Sep 2024","China Dental Show (CDS)","","","","","Shanghai","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/china-floor","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 14 - Fri, 16 Aug 2024","World of Concrete Asia (WOCA)","","","","","Shanghai","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1rg-x435-s8xd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 04 - Fri, 06 Sep 2024","The China (Guangzhou) International Beauty Expo - Autumn","","","","","Guangzhou","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1z3-h8f3-f2gg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 18 - Tue, 20 Aug 2024","EAI International Conference on Application of Big Data, Blockchain, and Internet of Things for Education Informatization...","","","","","Beihai","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e14d-dzsp-x6f0-3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 23 - Sun, 25 Aug 2024","Guangzhou Education Franchise Exhibition","","","","","Guangzhou","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-20rz-1h8f-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Sun, 21 Jul 2024","The International Conference on Education, Information Management, and Service Science (EIMSS)","","","","","Shanghai","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d2-243d-sfgx-x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Sun, 21 Jul 2024","International Seminar on Education, Management and Social Sciences (ISEMSS)","","","","","Harbin","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/automechanika-china","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 02 - Thu, 05 Dec 2024","Automechanika Shanghai (AMS)","","","","","Shanghai","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d0-5d4g-2pgh-x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 10 - Mon, 12 Aug 2024","International Conference on Education and Information Technologies","","","","","Chengdu","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-s00s-zk4r-1","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 26 - Sun, 28 Jul 2024","The Seventh International Conference on Frontiers in Cyber Security (FCS)","","","","","Chongqing","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dh-f1s1-r0h2-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Sun, 21 Jul 2024","The International Conference on Education, Management, and Social Sciences (ISEMSS)","","","","","Harbin","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e15d-fs1r-3hdh-6","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 16 - Sun, 18 Aug 2024","International Conference on Education, Network and Information Technology (ICENIT)","","","","","Dalian","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/r-t-asia","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Wed, 28 May 2025","R+T Asia (RT Asia)","","","","","Shanghai","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/famous-furniture-dongguan","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 18 - Wed, 21 Aug 2024","International Famous Furniture Fair (3F)","","","","","Dongguan","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","China","East Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/viv-china-nanjing","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 05 - Sat, 07 Sep 2024","VIV Select China","","","","","Nanjing","China","East Asia","","","","","","","","","","","",""
