"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/latin-expo-quito","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 14 Apr 2025","Latin Expo Quito","","","","","Quito, Ecuador","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/exp-libro","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 18 - Sun, 22 Sep 2024","Guayaquil International Book Fair","","","","","Expoplaza, Guayaquil","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d3-93d4-xrzd-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Thu, 12 Sep 2024","International Conference of Systems and Smart Technologies (CI3)","","","","","4º Pasaje 1 NE, Guayaquil","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d1-d8r0-rs2s-f","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Thu, 12 Sep 2024","CI3: International Conference of Research and Innovation","","","","","Guayaquil, Ecuador","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/smarttech-ic","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 02 - Wed, 04 Dec 2024","International Conference on Smart Technologies, Systems and Applications (SmartTech-IC)","","","","","Universidad Politécnica Salesiana, Campus-El Girón, Quito","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/ici-st","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 06 - Fri, 08 Nov 2024","International Conference on Information Systems and Software Technologies (ICI2ST)","","","","","Escuela Politecnica Nacional, Quito","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d2-f4sk-2gg3-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 17 - Sat, 19 Oct 2024","International Conference on Demographic Transition Health and Technologies (ICDTHT)","","","","","Estatal Península de Santa Elena (UPSE), La Libertad","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-sx4x-4r4s-3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 14 - Fri, 15 Nov 2024","Bilingualism, Bilingual Education, and Social (Sociolinguistic/Political) Conflict (Biuned)","","","","","Universidad Nacional de Educación a Distancia, Cuenca","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-k33z-gf0k-2","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 12 - Fri, 15 Nov 2024","Conference on Electrical and Electronic Engineering (JIEE)","","","","","Escuela Politecnica Nacional, Quito","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e10k-rrrr-1k35","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 12 - Fri, 15 Nov 2024","XXXI Conference on Electrical and Electronic Engineering (JIEE)","","","","","Quito, Ecuador","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e13d-dk5z-gd1s-4","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 26 - Thu, 28 Nov 2024","Congress of Salesian Education (6 CES)","","","","","Universidad Politécnica Salesiana, Guayaquil","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-50k1-x2xx-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 26 - Thu, 28 Nov 2024","VI Congress of Salesian Education (6 CES)","","","","","Universidad Politécnica Salesiana, Cuenca","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e12d-dkfx-2zf5-1","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 26 - Thu, 28 Nov 2024","6 CES: VI Congress of Salesian Education","","","","","Quito, Ecuador","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/education-latin-america-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 10 Sep 2016","International Education Latin America Expo Roadshow","","","","","Guayaquil, Ecuador","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/latin-america-quito","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 02 Sep 2018","Linden Educational Services Fair Quito","","","","","Swissotel Quito, Quito","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e13r-xgg4-h3d5","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 27 - Fri, 28 Jun 2024","International Congress of Scientific Research (InDTec)","","","","","Instituto Tecnologico Superior Sudamericano, Loja • Online","Ecuador","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e11d-dx5r-pz1k-7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 17 - Wed, 19 Jun 2024","International Congress of Technology, Sustainability and Educational Innovation (TSIE-II)","","","","","Universidad Tecnica del Norte UTN, Ibarra","Ecuador","South America","","","","","","","","","","","",""
