"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/european-education-fair-paris","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 13 - Sun, 17 Nov 2024","The European Education Fair","","","","","Paris","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icem-france","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 28 - Sun, 29 Sep 2024","International Conference on Education & Management Innovation (ICEM)","","","","","Paris","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/ictel-paris","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 08 - Thu, 09 Jan 2025","International Conference on Teaching, Education & Learning (TERA)","","","","","Paris","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/agricultural-show","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 22 Feb - Sun, 02 Mar 2025","International Agricultural Show","","","","","Paris","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dh-0dr3-s3hh-9","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Thu, 29 Aug 2024","Sea & Education: Ocean and Coast: Playgrounds?","","","","","Plouzané","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/tesol-paris","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 15 - Sun, 17 Nov 2024","International TESOL France Colloquium","","","","","Paris","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/studyrama-lyon","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 12 Oct 2024","Salon Studyrama Grandes Ecoles de Lyon","","","","","Lyon","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d1-5d0x-1pfx-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 23 - Fri, 26 Jul 2024","The Innovation School","","","","","Toulouse","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icmbps-fg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Fri, 26 Jul 2024","International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)","","","","","Tremblay-en-France","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icesd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 12 - Sat, 13 Jul 2024","International Conference on Environmental Science and Development (ICESD)","","","","","Tremblay-en-France","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e12k-fpk6-hf49","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 11 Oct 2024","International Criminology Conference","","","","","Paris • Online","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/access-mba-fr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 28 Sep 2024","One-to-One MBA event (Network Online with Business Schools)","","","","","Paris","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/def","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 16 - Tue, 17 Sep 2024","Disease Education Forum (DEF)","","","","","Suresnes","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e11d-d9kp-2rpk-5","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 23 - Fri, 26 Jul 2024","The Innovation School","","","","","Toulouse","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/supply-chain-management-fontaine","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 23 - Fri, 27 Jun 2025","Supply Chain Management","","","","","Fontainebleau","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k0-x5d4-z0xr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 14 - Wed, 17 Jul 2024","Optical Sensors Toulouse","","","","","Toulouse","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-zfr1-11gg-6","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 08 - Wed, 17 Jul 2024","European Orchestra Camp","","","","","Nantes","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icbellp-paris","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 08 - Thu, 09 Jan 2025","International Conference on Business, Economics, Law, Language & Psychology (ICBELLP)","","","","","Paris","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/international-conference-on-economics-paris","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Fri, 26 Jul 2024","International Conference on Economics and Business Management (ICEBM)","","","","","Tremblay-en-France","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/qs-world-mba-tour-paris","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 19 Oct 2024","QS World MBA Tour Paris","","","","","Paris","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1df-4439-sxdh-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 08 - Fri, 12 Jul 2024","AESOP Congress","","","","","Paris","France","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","France","Europe","","","","","","","","","","","",""
