"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/e1xz-0sh9-r5d3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 23 - Thu, 25 Jul 2024","Knowledge, Innovation & Enterprise Conference (KIE)","","","","","Rome","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-19gs-2hd5-s","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 21 - Sat, 27 Jul 2024","Field Training School and Research Seminar on Urban Research: Theory and Methods","","","","","Montecatini Terme","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/job-orienta","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 27 - Sat, 30 Nov 2024","Job & Orienta","","","","","Verona","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d5-d2s0-5sgx-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 09 - Sun, 14 Jul 2024","Conference of the School of Abbasid Studies","","","","","Venice","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xs-z1d2-p1s7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 26 - Sun, 28 Jul 2024","International and Interdisciplinary Conference on Communication, Medicine and Ethics","","","","","Brescia","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/pitti-imagine-bimbo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 22 - Fri, 24 Jan 2025","Pitti Immagine Bimbo","","","","","Florence","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k4-5p0g-9kzz","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 14 - Fri, 19 Jul 2024","Bridge Management & Inspection","","","","","Milan","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/cirp-conference-on-intelligent-computation-in-manufacturing-engineering","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 10 - Fri, 12 Jul 2024","CIRP Conference on Intelligent Computation in Manufacturing Engineering Conference (CIRP ICME)","","","","","Naples","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/meeting-rimini","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 20 - Sun, 25 Aug 2024","Rimini Meeting","","","","","Rimini","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-0xk8-ks40-s","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 08 - Fri, 26 Jul 2024","ICTP School on the Mathematics of AI (EAUMP)","","","","","Trieste","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/panasia-medical-legal","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 19 - Thu, 26 Sep 2024","Pan Europe Asia Medical Conference Rome","","","","","Rome","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k0-8z27-dxrk","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 14 - Mon, 16 Sep 2024","ICEF Secondary Education","","","","","Rome","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d3-3d4g-4gfz-s","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 14 - Sat, 20 Jul 2024","International Forensics Summer School (IFOSS)","","","","","Scicli","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/travel-trade-italia","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 09 - Fri, 11 Oct 2024","TTG Travel Experience","","","","","Rimini","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1kd-0117-rzhs","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 31 Jul 2024","PNNL TechFest","","","","","Rome","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/triestespresso-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 24 - Sat, 26 Oct 2024","Triestespresso Expo","","","","","Trieste","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/roman-forum-summer-symposium","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 09 - Sat, 20 Jul 2024","Roman Forum Summer Symposium","","","","","Gardone Riviera","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/language-learning-education","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 07 - Fri, 08 Nov 2024","Innovation in Language Learning International Conference (ILL)","","","","","Florence • Online","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k4-4p01-gzzr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 08 - Fri, 19 Jul 2024","Joint ICTP-IAEA INPRO School on Strategic Planning for Sustainable Nuclear Energy Development","","","","","Trieste","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/redete-ancona","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 17 - Wed, 18 Sep 2024","Researching Entrepreneurship and Economic Development Conference (REDETE)","","","","","Ancona","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d0-03f4-sddr-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 11 - Sat, 13 Jul 2024","Annual International Real Options Conference","","","","","Bologna","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1x4-d3p5-9zkz","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 08 - Tue, 10 Sep 2024","Higher Education Summit","","","","","Padua","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/qs-world-mba-tour-milano","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 14 Oct 2024","QS World MBA Tour Milan","","","","","Milan","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d0-d7x0-k3kg-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 01 - Fri, 12 Jul 2024","Summer School and International Conference (Poisson)","","","","","Naples","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icrdssbm-italy","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 24 Jul 2024","International Conference on Recent Developments in Social Science and Business Management (ICRDSSBM)","","","","","Rome • Online","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-rdr3-6p29-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 05 - Thu, 08 Aug 2024","Institute of Electrical and Electronics Engineers Conference on Games","","","","","Milan","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/crea-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 02 - Sun, 06 Apr 2025","CREA CONFERENCE","","","","","Sestri Levante","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/access-mba-milan","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 05 Oct 2024","Access MBA One-to-One MBA Event","","","","","Milan","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/maker-faire-rome","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 25 - Sun, 27 Oct 2024","Maker Faire Rome","","","","","Rome","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e13x-rd8g-df30","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 11 - Sun, 14 Jul 2024","Global Fashion Management Conference at Milan (GFMC at Milan)","","","","","Milan","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e10x-hd0f-rp56","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 05 - Thu, 08 Aug 2024","IEEE Conference on Games IEEE CoG","","","","","Milan","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d1-f2s0-z1zg-r","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 Jul - Fri, 09 Aug 2024","World of Work","","","","","Turin","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icserma","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 15 - Fri, 16 Aug 2024","International Conference On Software Engineering Research, Management And Applications (ICSERMA)","","","","","Venice","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/operawine","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 27 - Mon, 31 Mar 2025","OperaWine","","","","","Verona","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dh-1fx6-fd0d-5","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 19 - Fri, 20 Sep 2024","International ELT Conference","","","","","Ferrara","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icemss-rome","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 20 - Thu, 21 Nov 2024","International Conference on Economics, Management and Social Study (ICEMSS)","","","","","Rome","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icsd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Thu, 12 Sep 2024","International Conference on Sustainable Development (ICSD)","","","","","Rome","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e10r-hp6x-dh47","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 - Fri, 19 Jul 2024","The IMPS Conference","","","","","Bologna","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/cosmoprof-bologna","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 20 - Sun, 23 Mar 2025","Cosmoprof Worldwide Bologna","","","","","Bologna","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/europe-asia-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 23 - Mon, 30 Jun 2025","Europe Asia Conference","","","","","Santa Margherita Ligure","Italy","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Italy","Europe","","","","","","","","","","","",""
