"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"16/07/2024","10Times","https://10times.com/education-fair-korea","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 15 - Fri, 17 Jan 2025","Education Korea","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/study-abroad-emigration","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 21 - Sun, 22 Sep 2024","International Education & Emigration Fair","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/icebhs-seoul","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 20 - Sun, 21 Jul 2024","International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e-learning-expo-korea","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 23 - Wed, 25 Sep 2024","Edtech Korea Fair","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/mba-conference-seoul","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 22 Aug 2024","Access MBA One-to-One Event in Seoul (AccessMBA Seoul)","","","","","Jikhalsi","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1zd-hz55-4zf1","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 16 - Fri, 18 Oct 2024","International Conference on Advance Education","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d1-d5r4-f5xx-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 13 - Wed, 14 Aug 2024","International Conference on Management, Education and Emerging Technology (MEET Conference)","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1zh-5fh6-r1d3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Sat, 10 Aug 2024","Korea International EduPlus Week","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/rsele","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 16 - Sun, 17 Nov 2024","International Conference on Research in Social Science, Economic, Law and Education (RSELE)","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e10x-zd8g-dp35","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 18 - Sat, 20 Jul 2024","The Busan Baby Childcare Education Products Exhibition","","","","","Busan","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1x2-0z19-dhpf","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 18 - Sun, 21 Jul 2024","Busan Baby Fair & Infant Educational Products Exhibition","","","","","Busan","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d2-230d-hhdk-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 18 - Sat, 20 Jul 2024","Busan Baby Fair & Infant Educational Product Exhibition","","","","","Busan","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1kp-082s-x2hz","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 10 - Wed, 11 Sep 2024","Daegu Office of Education Vocational Education Fair","","","","","Daegu","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/drone-show-korea","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 26 - Fri, 28 Feb 2025","Drone Show Korea","","","","","Busan","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/icbmss-seoul","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 Aug 2024","International Conference on Business Management and Social Science (ICBMSS)","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/international-conference-on-knowledge-management","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 - Sun, 04 Aug 2024","International Conference on Knowledge Management Business and Social Science Innovation Research (KMBS)","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/qs-connect-seoul","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 27 Aug 2024","QS Discover MBA Fair Seoul","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1zd-hz00-z2p0","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 20 - Wed, 21 Aug 2024","International Conference on Business Management and Social Innovation (ICBMSI)","","","","","Incheon","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/siso-fair","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 13 - Sat, 16 Nov 2024","Seoul International Stationery & Office Fair (SISOFAIR)","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/icola-south-korea","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 26 - Sat, 28 Sep 2024","International Congress on Lipid & Atherosclerosis (ICoLA)","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1xz-x131-frh2","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Sun, 11 Aug 2024","Global Baby Fair","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d1-h0f1-x4sz-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Sun, 11 Aug 2024","Global Baby Fair","","","","","Incheon","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d0-9d1r-1dfr-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 14 - Fri, 19 Jul 2024","ICCP","","","","","Jeju-si","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/st-alphe-seoul","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 09 - Tue, 10 Dec 2024","ST Alphe Korea","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e13x-dd0p-2zf8","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Sat, 10 Aug 2024","Edu+Week","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/franchise-seoul","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 31 Oct - Sat, 02 Nov 2024","International Franchise Show (IFS)","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1xd-d2p6-s4d3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 21 - Sun, 22 Sep 2024","International Education & Emigration Fair Spring","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1dh-115f-x0sk-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 21 - Sun, 22 Sep 2024","International Education & Emigration Fair Fall","","","","","Incheon","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e12d-dhhd-f3k1-8","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 02 - Sun, 04 Aug 2024","Cam Fair","","","","","Busan","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d0-d7z4-8grp-s","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Sat, 27 Jul 2024","University Early Admission Fair","","","","","Seoul","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d0-74h6-fxsp-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Sat, 27 Jul 2024","University Early Admission Fair","","","","","Incheon","Korea","East Asia","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1dh-fx09-szs5-9","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Sat, 10 Aug 2024","Edu+Week","","","","","Incheon","Korea","East Asia","","","","","","","","","","","",""
