"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/habla-teacher-institute","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Fri, 26 Jul 2024","Annual Habla Teacher Institute","","","","","Merida","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/guadalajara-expo-tech-forum","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Thu, 12 Sep 2024","Guadalajara Expo & Tech Forum","","","","","Guadalajara","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e11x-s5xz-3fs6","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 26 - Sat, 28 Sep 2024","Annual Educators' Conference","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/paace-automechanika-mexico","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 10 - Fri, 12 Jul 2024","INA PAACE Automechanika","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/green-expo-mexico","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 03 - Thu, 05 Sep 2024","The Green Expo","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/expo-seguridad-mexico","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 24 - Thu, 26 Jun 2025","Expo Seguridad Mexico","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/s-world-grad-school-tour","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 31 Aug 2024","QS MBA Events Mexico City","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/qs-world-mba-tour-mexicocity","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 31 Aug 2024","QS World MBA Tour Mexico City","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/expo-estudiante-mexico","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 28 - Sun, 29 Sep 2024","Expo-Estudiante Mexico","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d1-d6r4-5fdg-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Sat, 27 Jul 2024","Millennium Conference on Advances in Green Chemistry","","","","","Merida","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/karrass-effective-negotiating-seminar-mexico-city","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 12 Aug 2024","Effective Negotiating Seminar","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/ibtm-americas","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 21 - Thu, 22 Aug 2024","IBTM Americas","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/cme-retreat-anesthesia-conference-canc-n","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 28 Oct - Fri, 01 Nov 2024","Anesthesia Symposium CME Retreat","","","","","Cancún","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/qs-connect","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 31 Aug 2024","QS Connect MBA - Mexico City","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/expo-beauty-show","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 03 - Tue, 05 Nov 2024","Expo Beauty Show (EBS)","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k2-73k9-hrgr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 12 - Thu, 15 Aug 2024","Iranian Studies Conference","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/abastur-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 28 - Fri, 30 Aug 2024","ABASTUR","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-xz41-49ff-r","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 Jul - Thu, 01 Aug 2024","Make It With Mexico Conference","","","","","Ensenada","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/access-mba-mexicocity","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 12 Oct 2024","Access Mba One-to-One MBA Event Mexico City","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/aws-summit-mexico-city","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 07 Aug 2024","Amazon Web Services Summit Mexico City (AWS Summit)","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/susc","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 24 - Sun, 26 Jan 2025","Sobriety Under The Sun Convention (SUSC)","","","","","Puerto Vallarta","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d0-h3f2-z3zk-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 27 - Thu, 29 Aug 2024","First Forum to Identify Development Potential in Areas of Artificial Intelligence and Data Science in the Faculty of Engineering (FIACD)...","","","","","Mexico City","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/karrass-effective-negotiating-seminars","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 11 - Fri, 12 Jul 2024","KARRASS Effective Negotiating Seminar","","","","","Monterrey","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e14z-xf7z-h1g8","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 03 - Thu, 05 Sep 2024","Top Flotillas","","","","","Playa del Carmen","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/chihuahua-expo-tech-forum","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 15 Aug 2024","Chihuahua Expo & Tech Forum","","","","","Chihuahua","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/hazlo-tu","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 15 - Sun, 17 Nov 2024","Hazlo Tu Monterrey","","","","","Monterrey","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/fabtech-mexico-monterrey","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 06 - Thu, 08 May 2025","FABTECH Mexico (FABTECH Mex)","","","","","Monterrey","Mexico","North America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e10z-xdxr-6r13","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 03 - Thu, 05 Sep 2024","Logistics Experience (LOGEX)","","","","","Playa del Carmen","Mexico","North America","","","","","","","","","","","",""
