"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/tti","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 22 - Fri, 23 May 2025","Teaching Translation and Interpreting Conference","","","","","Łódź","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/ekotech","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 03 - Fri, 06 Sep 2024","Fair of Environmental Protection and Waste Management (EKOTECH)","","","","","Kielce","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/hpci-central-europe","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 25 - Thu, 26 Sep 2024","HPCI Central and Eastern Europe","","","","","Warsaw","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1x3-p6z3-7hfp","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Fri, 30 Aug 2024","The International Conference on Physics Education","","","","","Kraków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xs-r59z-s56x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Fri, 13 Sep 2024","International Conference on Education, Culture, and Society","","","","","Wrocław","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icabe-szczecin","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 12 - Sat, 14 Sep 2024","International Conference on Applied Business and Economics (ICABE)","","","","","Szczecin • Online","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/trako","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 23 - Fri, 26 Sep 2025","International Railway Fair - Trako","","","","","Gdańsk","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/ampere-nmr-school","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 08 - Sat, 14 Jun 2025","Ampere NMR School","","","","","Zakopane","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/mobile-trends-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 19 - Fri, 20 Sep 2024","Mobile Trends Conference","","","","","Kraków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/europe-baltics-and-russia","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 28 - Sat, 30 Nov 2024","Rhinoforum","","","","","Warsaw","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-1sf5-d2k5-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 23 Jul 2024","AHI Staff Training: Advanced Management and Leadership Essentials","","","","","Pruszków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/women-in-tech-summit-warsaw","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Thu, 12 Jun 2025","Perspektywy Women in Tech Summit","","","","","Warsaw • Online","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xg-ksp2-31f3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 18 - Fri, 20 Sep 2024","The International Conference of the International Association for Intercultural Communication Studies","","","","","Opole","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-1403-xkxf-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 02 - Fri, 06 Sep 2024","Advanced School on Quantum Spacetime","","","","","Warsaw","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/cracow-epiphany-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 13 - Fri, 17 Jan 2025","Cracow Epiphany Conference","","","","","Kraków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/smart-city-forum-poland","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 18 - Tue, 19 Nov 2024","Smart City Forum","","","","","Warsaw","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/krakow-book-fair","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 24 - Sun, 27 Oct 2024","International Book Fair in Krakow","","","","","Kraków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xh-54r2-4kxg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 24 - Fri, 26 Jul 2024","Global International Studies Conference","","","","","Warsaw","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d5-6h20-dxhx-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 19 - Fri, 23 Aug 2024","ICCPR Conference","","","","","Warsaw","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/mircim","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Sat, 10 May 2025","Mcmaster International Review Course In Internal Medicine (MIRCIM)","","","","","Kraków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xz-36k0-2zrr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 06 - Sun, 08 Sep 2024","International Space Robotics Competition And Conference","","","","","Kraków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e13r-h6kg-5hg7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 27 - Sun, 29 Sep 2024","International Conference on Computer Information Systems and Industrial Management Applications","","","","","Bialystok","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/wmmfc","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 17 - Wed, 18 Sep 2024","RCEA Warsaw Money Macro Finance Conference (WMMFC)","","","","","Warsaw","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/warsaw-toys-kids-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 01 - Thu, 03 Apr 2025","Warsaw Toys & Kids Expo","","","","","Pruszków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d5-8h1d-8skf-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 08 - Tue, 10 Sep 2024","International Congress of Czech Anatomical Society & Lojda Symposium on Histochemistry","","","","","Czechowice-Dziedzice","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1kr-2930-frds","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 25 - Thu, 26 Sep 2024","eTEE e-Technologies in the Education of Engineers","","","","","Kraków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/maritime-economy-forum-gdynia","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 14 Oct 2024","Maritime Economy Forum Gdynia","","","","","Gdynia","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icmit-krakow","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 04 - Tue, 05 Nov 2024","International Conference on Management and Information Technology (ICMIT)","","","","","Kraków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e12d-ds7f-r0zg-9","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 21 Aug 2024","Create Reports That Matter","","","","","Pruszków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-3rh0-r0z4-s","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 12 - Sat, 14 Sep 2024","ENPHE Conference","","","","","Warsaw","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d4-5d1g-7ppk-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 05 - Sun, 08 Sep 2024","Non-classical Logics: Theory and Applications (NCL)","","","","","Łódź","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1kp-p5r9-d0r6","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 17 - Fri, 19 Jul 2024","International Conference on Interdisciplinary Social Sciences","","","","","Kraków • Online","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d3-1d42-kkfz-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 20 - Sun, 22 Sep 2024","Bochum Space Conference","","","","","Radom","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-x14g-1h1s-s","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 28 Sep - Tue, 01 Oct 2024","NCSHA Annual Conference & Showplace","","","","","Warsaw","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d2-d2rr-0pk0-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 03 - Thu, 05 Sep 2024","Work Safety Expo - Trade Fair for Personal Protection Products for Employees","","","","","Pruszków","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dh-3f7z-2h2g-s","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 12 - Fri, 13 Sep 2024","ROTOR symposium","","","","","Łódź","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d1-04h7-hfds-x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 18 - Fri, 20 Sep 2024","Interzero Environmental Conference","","","","","Sopot","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e122-0dfs-grfh-1","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 25 Sep 2024","Seminar in conjunction with HPCI CEE","","","","","Warsaw","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/securitycasestudy","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 Sep 2024","Security Case Study Conference (SCS Conference)","","","","","Warsaw","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/rnec-a","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 05 - Fri, 06 Sep 2024","React Native EU Conference","","","","","Wrocław","Poland","Europe","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Poland","Europe","","","","","","","","","","","",""
