"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"16/07/2024","10Times","https://10times.com/simo-network","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 19 - Thu, 21 Nov 2024","Simo Education (SIMO EDUCACION)","","","","","Madrid","Spain","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/expo-elearning-spain","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 26 - Sun, 30 Mar 2025","Education Week","","","","","Madrid","Spain","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Spain","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/iceel-madrid","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 22 - Fri, 23 Aug 2024","International Conference on Education and E-Learning (ICEEL)","","","","","Madrid","Spain","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Spain","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/ictem-shanghai","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 - Wed, 31 Jul 2024","International Conference on Teaching and Education Management (ICTEM)","","","","","Barcelona","Spain","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/simo-education","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 19 - Thu, 21 Nov 2024","International Exhibition of Technology and Educational Innovation","","","","","Madrid","Spain","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/educationresearch","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 11 - Wed, 13 Nov 2024","International Conference of Education, Research and Innovation (ICERI)","","","","","Seville","Spain","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1x0-g7s1-z2hr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 - Wed, 31 Jul 2024","International Conference on Artificial Intelligence in Education Technology","","","","","Barcelona","Spain","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1sz-55p0-skz9","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Sun, 21 Jul 2024","International Conference on Applied Research in Education (ARECONF)","","","","","Barcelona • Online","Spain","Europe","","","","","","","","","","","",""
