"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"16/07/2024","10Times","https://10times.com/ostschweizer-bildungs-ausstellung","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 29 Aug - Sun, 01 Sep 2024","OBA - Eastern Swiss Education Exhibition","","","","","Saint Gallen","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/wels-lucerne","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 04 Sep 2024","World Education Leadership Symposium (WELS)","","","","","Lucerne • Online","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/school-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 15 - Sat, 17 May 2025","The Education Fair","","","","","Zürich","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/baseleduca-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 10 Apr 2025","International Education & Career Exhibition (BaselEduCa Expo)","","","","","Basel","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/amee-conferences","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 24 - Wed, 28 Aug 2024","AMEE Conference","","","","","Basel","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/educational-conference-of-the-hnhcp-z-rich","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 08 - Sat, 09 Nov 2024","HNHCP Educational Conference","","","","","Zürich","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e11k-khd3-xp59","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 15 Aug 2024","She Leads for Peace Geneva Summer School","","","","","Geneva","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1x2-h9z0-s0zh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 24 - Wed, 28 Aug 2024","Association for Medical Education Europe Conference","","","","","Basel","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/master-fair","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 31 Oct 2024","Master Fair","","","","","Zürich","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1dd-xxfr-51r2-4","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 22 - Fri, 23 Aug 2024","World Summit on Competency Based Education (CBE)","","","","","Basel","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/art-strategic","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 05 - Fri, 09 Aug 2024","The Art of Strategic Management","","","","","Geneva • Online","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/access-mba-fair","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 03 Oct 2024","Access MBA One-to-One Event in Geneva","","","","","Geneva","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1dh-fx11-s18r-k","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 Aug 2024","Scientific Day: Evaluating Learning with Digital Tools in Higher Education","","","","","Lausanne","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/icbmsi-z-rich","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 Aug 2024","International Conference on Business Management and Social Innovation (ICBMSI)","","","","","Zürich","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/expat-expo-zurich","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 08 Sep 2024","Expat Expo Zurich","","","","","Zürich","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/icah-zurich","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 Aug 2024","International Conference on Arts and Humanities (ICAH)","","","","","Zürich","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/bea-bern-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 25 Apr - Sun, 04 May 2025","BEA","","","","","Bern","Switzerland","Europe","","","","","","","","","","","",""
