"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"16/07/2024","10Times","https://10times.com/ictel-uk","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 10 - Wed, 11 Sep 2024","London International Conference on Teaching, Education & Learning","","","","","London","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/oxford-education-symposium","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 15 - Wed, 17 Jul 2024","Oxford Education Research Symposium","","","","","Oxford","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1r1-x4z5-h3rh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Thu, 25 Jul 2024","CIEC Teaching & Leadership Conference","","","","","Cambridge","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d0-d5x5-k0hg-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Thu, 25 Jul 2024","Cambridge International Education Conference","","","","","Cambridge","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1xp-061f-z0sk","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 - Sun, 21 Jul 2024","International Conference on Innovation in Teaching and Education","","","","","London","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/education-world-forum","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 18 - Wed, 21 May 2025","Education World Forum","","","","","London","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/anaesthetists-as-educators-an-introduction","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 10 Mar 2025","Anaesthetists as Educators an Introduction","","","","","London","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1dh-1hh0-hk35-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Fri, 26 Jul 2024","International Conference on Education and New Developments","","","","","London","United Kingdom","Europe","","","","","","","","","","","",""
