"date_farmed","source","scraped_url","d","e","f","g","h","i","j","k","l","post_date","n","job_title","p","job_type","description","s","t","salary","v","w_requirements","x_benefits","y","z","aa_state_province","ab_country","ac_region","business_name","ae_description","af_website","ag","ah","ai_country","company_url"
"29/12/2024","30s Jobs","https://30sjob.com/job/mercury-education-is-looking-for-english-teacher/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Mercury Education is looking for English teacher","","Part Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/submit-job-ho-chi-minh-full-time-part-time-currently-in-hcmc-english-teachers-for-public-schools/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Currently in HCMC, English Teachers For Public Schools","","Full-time Part-time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/submit-job-ha-noi-full-time-part-time-esl-teacher/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","ESL Teacher","","Full-time Part-time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/submit-job-ha-noi-full-time-part-time-hanoi-ielts-teachers-needed-for-the-second-semester-02-2025/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","[Hanoi] IELTS Teachers needed for the second semester (02/2025)","","Full-time Part-time","","","","","","","","","","Hà Nội","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/duyhung-ho-chi-minh-full-time-english-maths-and-science-teacher-in-ho-chi-minh-city-vietnam/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","ENGLISH, MATHS AND SCIENCE TEACHER IN HO CHI MINH CITY, VIETNAM","","Full Time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/cp-foundation4ielts-0124-hai-duong-part-time-10-part-time-native-and-qualified-english-teachers-needed/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","10 PART-TIME NATIVE AND QUALIFIED ENGLISH TEACHERS NEEDED","","Full-time","","","","","","","","","","Hải Dương","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/submit-job-ha-noi-part-time-summer-camp-teacher-start-in-june-2024-2/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Summer Camp Teacher – Start in June 2024","","Full-time","","","","","","","","","","Nghệ An,                             Ho Chi Minh,                             Hanoi,                             Hải Phòng,                             Hà Nội,                             Đà Nẵng,                             Bắc Ninh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/english-teachers-for-the-new-school-year-august-2024/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","N.E.S teachers for the new school year (August 2024)","","Full-time Part-time","","","","","","","","","","Hanoi","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/post-jobs-ho-chi-minh-full-time-part-time-english-teacher-for-public-schools-in-vietnam-3/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","English Teacher for Public Schools in Vietnam","","Full-time Part-time","","","","","","","","","","Ho Chi Minh","Vietnam","South-East Asia","","","","","","",""
"29/12/2024","30s Jobs","https://30sjob.com/job/recruiting-english-teachers-in-nha-trang/","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Recruiting English teachers in Nha Trang","","Full Time","","","","","","","","","","Nha Trang","Vietnam","South-East Asia","","","","","","",""
