"date_farmed","source","scraped_url","d","e","f","g","h","i","j","k","l","post_date","n","job_title","p","job_type","description","s","t","salary","v","w_requirements","x_benefits","y","z","aa_state_province","ab_country","ac_region","business_name","ae_description","af_website","ag","ah","ai_country","company_url"
"04/07/2024","Adzuna","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","","","","","","","","","","","","","","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","https://www.adzuna.com.au/land/ad/4765179730?se=bpLI96U57xGh5CFB1xA_5w&title=GP%C3%82_-_DPA_-_Canberra_-_high_%25_offered_-_Teaching_practice&v=29CB2FF9F64AD2EA0A32D60FB310ADAA61012CAD","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","GPÂ - DPA - Canberra - high % offered - Teaching practice","","","","","","","","","","","","ALL CANBERRA AUSTRALIAN CAPITAL TERRITORY","Australia","Oceania","HEALTHCARELINK","","","","","","https://www.adzuna.com.au/company/healthcarelink"
"04/07/2024","Adzuna","https://www.adzuna.com.au/land/ad/4765179722?se=bpLI96U57xGh5CFB1xA_5w&title=VR_General_Practitioner_-_sea_change_-_Nowra_region_-_teaching_practice&v=507589DDDECB9D475E2F83FEB22139E8095C3D3C","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","VR General Practitioner - sea change - Nowra region - teaching practice","","","","","","","","","","","","WOLLONGONG, ILLAWARRA & SOUTH COAST NEW SOUTH WALES","Australia","Oceania","HEALTHCARELINK","","","","","","https://www.adzuna.com.au/company/healthcarelink"
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4762484157?title=Classroom_Teaching","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Classroom Teaching","","","","","","","","","","","","MELBOURNE, VICTORIA, 3004","Australia","Oceania","VICTORIAN GOVERNMENT","","","","","","https://www.adzuna.com.au/company/victorian-government"
"04/07/2024","Adzuna","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","","","","","","","","","","","","","","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4745758499?title=Early_Childhood_Teache","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Early Childhood Teache","","","","","","","","","","","","HORNINGSEA PARK, NEW SOUTH WALES, 2171","Australia","Oceania","G8 EDUCATION","","","","","","https://www.adzuna.com.au/company/g8-education"
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4762485358?title=Leading_Teacher%3A_Teaching_and_Learning","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Leading Teacher: Teaching and Learning","","","","","","","","","","","","MELBOURNE, VICTORIA, 3004","Australia","Oceania","VICTORIAN GOVERNMENT","","","","","","https://www.adzuna.com.au/company/victorian-government"
"04/07/2024","Adzuna","https://www.adzuna.com.au/land/ad/4763423356?se=bpLI96U57xGh5CFB1xA_5w&title=VR_GP_%7CTeaching_practice_%7C_Brisbane_%7C_no_restrictive_agreements&v=A61D8DD62493DE549D11CAA6B36771F65DAEDFBC","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","VR GP |Teaching practice | Brisbane | no restrictive agreements","","","","","","","","","","","","ALL BRISBANE QUEENSLAND","Australia","Oceania","HEALTHCARELINK","","","","","","https://www.adzuna.com.au/company/healthcarelink"
"04/07/2024","Adzuna","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","","","","","","","","","","","","","","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","https://www.adzuna.com.au/land/ad/4763423245?se=bpLI96U57xGh5CFB1xA_5w&title=General_Practitioner-_DPA_-_Canberra_-_high_%25_-_teaching_opportunity_available&v=68039ACF667921E2CD99288616A7E2417E917B15","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","General Practitioner- DPA - Canberra - high % - teaching opportunity available","","","","","","","","","","","","ALL CANBERRA AUSTRALIAN CAPITAL TERRITORY","Australia","Oceania","HEALTHCARELINK","","","","","","https://www.adzuna.com.au/company/healthcarelink"
"04/07/2024","Adzuna","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","","","","","","","","","","","","","","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4762485086?title=Principal_Practice_Officer-_Teaching_and_Learning","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Principal Practice Officer- Teaching and Learning","","","","","","","","","","","","MELBOURNE, VICTORIA, 3004","Australia","Oceania","VICTORIAN GOVERNMENT","","","","","","https://www.adzuna.com.au/company/victorian-government"
"04/07/2024","Adzuna","https://www.adzuna.com.au/land/ad/4763423533?se=hjsk-aU57xGS2GMvpnla_A&title=Teaching_Opportunity_for_a_VR_Fellow_GP_%7C_75_to_80%25_Billings_%7C_Flexible_Hours&v=7C8EAAD8D3AF5510037E21470F1F670EBC5A8248","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teaching Opportunity for a VR Fellow GP | 75 to 80% Billings | Flexible Hours","","","","","","","","","","","","NARRE WARREN SOUTH VICTORIA 3805","Australia","Oceania","HEALTHCARELINK","","","","","","https://www.adzuna.com.au/company/healthcarelink"
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4762485201?title=Assistant_Principal-Range_2_%28Teaching_and_Learning%29","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Assistant Principal-Range 2 (Teaching and Learning)","","","","","","","","","","","","MELBOURNE, VICTORIA, 3004","Australia","Oceania","VICTORIAN GOVERNMENT","","","","","","https://www.adzuna.com.au/company/victorian-government"
"04/07/2024","Adzuna","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","","","","","","","","","","","","","","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4762485044?title=2025_Learning_Specialist_%28Teaching_and_Learning_-_Literacy%29","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","2025 Learning Specialist (Teaching and Learning - Literacy)","","","","","","","","","","","","MELBOURNE, VICTORIA, 3004","Australia","Oceania","VICTORIAN GOVERNMENT","","","","","","https://www.adzuna.com.au/company/victorian-government"
"04/07/2024","Adzuna","https://www.adzuna.com.au/land/ad/4763423466?se=hjsk-aU57xGS2GMvpnla_A&title=VR_GP_-_Teaching_Exemption_-_70%25_of_Billings_-_%24150%2Fhr_-_BUSY_Clinic&v=2E01D1A3472965D9ABE8CFC2B86C0C057BA4EF83","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","VR GP - Teaching Exemption - 70% of Billings - $150/hr - BUSY Clinic","","","","","","","","","","","","THE PATCH VICTORIA 3792","Australia","Oceania","HEALTHCARELINK","","","","","","https://www.adzuna.com.au/company/healthcarelink"
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4731349748?title=Teach_in_Shepparton","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teach in Shepparton","","","","","","","","","","","","MELBOURNE, VICTORIA, 3000","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","","","","","","","","","","","","","","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4731349690?title=Teach_in_Ballarat","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Teach in Ballarat","","","","","","","","","","","","MELBOURNE, VICTORIA, 3000","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","","","","","","","","","","","","","","Australia","Oceania","","","","","","",""
