"post_date","job_title","online","description","salary","city","business_name","company_url"
"7d","Job Opportunity: Online English Tutors/Teachers for School Children (Kindergarten to Primary 6)","Yes","Company BackgroundWe established Siyuan English (as part of the Panorama Media family) in 2020 as an online English education brand. Our founder, Siyuan (Luke), comes from Australia and has built a strong online presence with over 5 million followers across various Chinese platforms including Douyin, Kuaishou, Xiaohongshu, and WeChat. We have developed numerous recorded courses with a focus on quality education, earning the trust of over 100,000 families who have chosen Siyuan English for their learning needs.Now, we are expanding Siyuan English into one-to-one online classrooms and actively seeking passionate educators to join our team. If you're enthusiastic about teaching and eager to be part of a dynamic online education platform, Siyuan English is the perfect place for you.Requirements:Prior experience in teaching English to school students. Experience in online teaching is highly preferred.Excellent communication skills, native English speaker.A strong passion for teaching online.A teaching qualification or degree is desirable.Availability of at least four days a week, with a minimum of 16 peak hours during weekends and weekday evenings.Commitment to a minimum of 3 to 6 months.Working Hours:A minimum of 16 hours per week (at least 4 days a week, including weekends).Morning: 10:00-14:00 (AEST)Evening: 20:00-24:00 (AEST)Weekends: 11:00-23:00 (AEST)Benefits:Flexibility to choose your own working hours and schedule.Teach from the comfort of your home in one-on-one classes.Access to thousands of potential students.Training and ongoing support.Compensation:Hourly rate: $25-40 per hourDevice Requirements: Desktop or laptopOperating system: Windows 7 or above, or MacCPU: Core i3 (5th generation or higher)RAM: Minimum 4GB (8GB recommended)Hard disk: At least 100GB of available spaceHeadphones: With an extended microphone and noise-cancelling functionCamera: HD external or integrated camera (minimum 720p resolution)Internet Speed: Minimum 50mbps (wired connection recommended for stability)Preference:Tutors with prior experience on any Chinese online ESL teaching platforms are highly favoured.Job Type:Part-timePay: $25.00 – $40.00 per hourExpected hours: At least 16 per weekApplication Questions:Do you have any experience working with online ESL platforms?Education:Bachelor’s Degree (Preferred)Experience:At least 3 years of online or offline ESL teaching experience (Preferred)Language:English (Preferred)If you are enthusiastic about online teaching and meet the requirements, we encourage you to apply.Job Types: Part-time, Casual, FreelancePay: $25.00 – $40.00 per hourWork Location: Remote","$25.00 - $40.00 Per hour (Employer Est.)","","Panorama Media Pty Ltd",""
"1d","Junior Teaching Assistant - Coding/Creatives Wanted","No","Perfect opportunity for Year 11 and 12 Students seeking experience in coding or creative fields! Calling all high school students! Are you looking for extra cash during the school holiday period? Dive into the world of technology and unleash your creative side with this amazing opportunity that will set you apart from the rest.Code Camp, Australia's favourite holiday and after-school program, is seeking motivated and talented individuals like you to join our team as Teachers Assistants.What We Do:We're all about empowering kids between 5-13 years old to discover and dive into the world of technology and learn to be creators rather than just consumers - all while having a blast!Our programs cover everything – from learning to code your own video games, making YouTube videos, exploring AI, flying drones, spinning DJ decks, to even dabbling in engineering with Minecraft.Code Camp is looking for enthusiastic High school students to join our team as Teachers Assistants.Why Apply:Get Paid to Learn: Earn money while learning cool skills like coding, drone flying, Minecraft engineering, YouTube video creating, robotics, and even DJing.Boost Your Resume: Add some awesome hands-on experience to your resume, making you stand out when applying for jobs or university.Work with Cool People: Be part of a fun and dynamic team of like-minded people who are just as passionate about tech as you are.Flexible Work: Casual/Flexible schedule-Make money during your school break without messing up your school term commitments.Show Off Your Creative Side: As a Teacher's Assistant, you'll guide and mentor young minds who are super keen to learn and dive into the world of tech.Make a Difference: Play a key role in shaping the future of the next generation by sharing your knowledge and skills with enthusiastic kids.When and Where: This winter school holiday period and opportunities for other upcoming school holiday periods. We operate at multiple locations and will look to place you somewhere close to your locationReady to Apply?Don't miss out on being part of the Code Camp crew and making a positive impact on young learners. Shoot your resume and a snappy cover letter explaining why you’re a great fit for this gig to staff@codecamp.com.au or hit up https://www.codecamp.com.au/student-opportunities to apply.Jump on this opportunity! Join Code Camp for a school holiday filled with learning, inspiration, and a whole lot of fun. Let's make it unforgettable together!Job Type: CasualPay: $16.34 – $28.27 per hourExpected hours: 8 – 22 per weekSchedule:Monday to FridayNo weekendsShift workEducation:High School (Year 9-11) (Preferred)Work Authorisation:Australia (Preferred)Work Location: In personExpected Start Date: 01/07/2024","$51K - $61K (Glassdoor Est.)","Pymble","Code Camp","https://www.glassdoor.com.au/Overview/Working-at-Code-Camp-EI_IE1303551.11,20.htm"
"1d","English/ESL/ELICOS Teachers","No","Perfect opportunity for Year 11 and 12 Students seeking experience in coding or creative fields! Calling all high school students! Are you looking for extra cash during the school holiday period? Dive into the world of technology and unleash your creative side with this amazing opportunity that will set you apart from the rest.Code Camp, Australia's favourite holiday and after-school program, is seeking motivated and talented individuals like you to join our team as Teachers Assistants.What We Do:We're all about empowering kids between 5-13 years old to discover and dive into the world of technology and learn to be creators rather than just consumers - all while having a blast!Our programs cover everything – from learning to code your own video games, making YouTube videos, exploring AI, flying drones, spinning DJ decks, to even dabbling in engineering with Minecraft.Code Camp is looking for enthusiastic High school students to join our team as Teachers Assistants.Why Apply:Get Paid to Learn: Earn money while learning cool skills like coding, drone flying, Minecraft engineering, YouTube video creating, robotics, and even DJing.Boost Your Resume: Add some awesome hands-on experience to your resume, making you stand out when applying for jobs or university.Work with Cool People: Be part of a fun and dynamic team of like-minded people who are just as passionate about tech as you are.Flexible Work: Casual/Flexible schedule-Make money during your school break without messing up your school term commitments.Show Off Your Creative Side: As a Teacher's Assistant, you'll guide and mentor young minds who are super keen to learn and dive into the world of tech.Make a Difference: Play a key role in shaping the future of the next generation by sharing your knowledge and skills with enthusiastic kids.When and Where: This winter school holiday period and opportunities for other upcoming school holiday periods. We operate at multiple locations and will look to place you somewhere close to your locationReady to Apply?Don't miss out on being part of the Code Camp crew and making a positive impact on young learners. Shoot your resume and a snappy cover letter explaining why you’re a great fit for this gig to staff@codecamp.com.au or hit up https://www.codecamp.com.au/student-opportunities to apply.Jump on this opportunity! Join Code Camp for a school holiday filled with learning, inspiration, and a whole lot of fun. Let's make it unforgettable together!Job Type: CasualPay: $16.34 – $28.27 per hourExpected hours: 8 – 22 per weekSchedule:Monday to FridayNo weekendsShift workEducation:High School (Year 9-11) (Preferred)Work Authorisation:Australia (Preferred)Work Location: In personExpected Start Date: 01/07/2024","","Pymble","Pacific English Institute","https://www.glassdoor.com.au/Overview/Working-at-Code-Camp-EI_IE1303551.11,20.htm"
"7d","Online English Teacher","Yes","Are you a passionate ELA Teacher? Join us for this online part-time teaching role!Responsibilities：Teaching Focus: Educate students aged 5-12 in English Language Arts.Flexible Hours: Arrange classes according to your schedule.Teaching Materials: Use curated materials from our curriculum team.Learning Sessions: Engage in collaborative learning-sharing sessions.Qualifications:Education: Bachelor's degree in Education or a related field.Experience: Minimum two years of ELA teaching experience for primary or middle school students.Skill: Skilled in inspiring and connecting with students; Familiarity with online teaching platforms.Certificate: Require a valid state teaching certification in ELA/English .Bonus points: Familiarity with CCSS or ELA systems is preferred.Requirements：Device: Desktop, Laptop, Macbook, or Microsoft Surface.Network: Fast, stable internet connection.Tools: High-res camera, comfortable headset, and microphone[Apply Now]- Join WuKong and make a positive impact in online education!【About WuKong】Join WuKong Education, the premier online learning hub in Silicon Valley since 2016. We're the top choice for families aiming to equip their children (ages 3 to 18) with essential language and math skills, setting the stage for success in the 21st century.With 4,000+ global educators and a dedicated curriculum team, WuKong seamlessly merges live online classes and self-paced learning into an interactive platform accessible anytime, anywhere.Our commitment extends beyond academics; we're dedicated to sparking a lifelong passion for learning. Trusted by 300,000+ families across 118 countries, WuKong Education is the key to a brighter educational future.Empower Minds with WuKong Education!Explore more at wukongsch.com. Join us in shaping the future of education!Feedback time: If appropriate, we will try to contact you via email within 48 hours after you submit your resume, as it may be identified as spam. Please check your email carefully！Thanks a lot!Job Type: Part-timePay: $45.00 – $50.00 per hourExpected hours: No less than 6 per weekEducation:Bachelor Degree (Required)Experience:English teaching: 3 years (Required)Licence/Certification:Teaching Certification (Required)Work Authorisation:Australia (Required)Work Location: Remote","$45.00 - $50.00 Per hour (Employer Est.)","","Wukong Education","https://www.glassdoor.com.au/Overview/Working-at-Lan-Global-EI_IE274208.11,21.htm"
"14d","Online ENGLISH Tutors for Young Learners (K to G6)","No","areFreelance TutorWe are currently looking for motivated & passionate tutors/teachers, supplying online tutoring on English to school children (Kindergarten to Primary 6)Essential Requirements1. Experience in teaching school students in the subject of English. Online teaching experience with Asian kids is preferred.2. Good communication skills and clear spoken English.3. Passionate about online teaching.4. Ideally with a teaching qualification or degree.5. Be able to provide at least four days a week, at least 16 peak hours on both weekends and weekday evenings.6. Can work for at least 3 to 6 months in AirClass.Working hours: At least 16 hours a week (at least 4 days a week including weekends).Morning: 08:00-12:00 (GMT +8)Evening:18:00-22:00 (GMT +8)Weekends :09:00-21:00 (GMT +8)What we offer· Choose your own working hours and timetable.· Teach from home & on-line for 1on 1 class.· Thousands of potential students.· A market leading platform with a dedicated account manager.· Extensive training and support.Hourly Rate: 90 to 117 CNY per hourDevice: Desktop or laptopOperating system: Windows 7 or above or MacCPU: Core i3- fifth generation performance and aboveRAM: At least 4GB RAM(8GB recommended)Hard disk: At least 100GB of free hard disk space is availableHeadphones: Headphones with an extended microphone and noise-cancelling functionCamera: HD external or integrated camera (at least 720p resolution)Internet Speed: At least 50mbps of wired or wireless Internet connection (computer connection to wired network is recommended for more stable classes)NOTE: Tutors with online teaching experience with any Chinese teaching platform are highly preferred.Job Type: Part-timePay: $19.00 – $25.00 per hourExpected hours: No less than 16 per weekApplication Question(s):Do you have any working experience with any online Chinese ESL platforms?Education:Bachelor Degree (Preferred)Experience:online/offline ESL teaching: 3 years (Preferred)Language:English (Preferred)","","Canberra","AirClass 1 on 1","https://www.glassdoor.com.au/Overview/Working-at-AirClass-EI_IE6224924.11,19.htm"
"17d","HIRING: Primary/ Secondary Tutors - Sydney Metro","No","We are seeking a Primary/Secondary trained teachers/tutors for school aged students across Sydney.This ideal opportunity for a Learning Support / primary teachers and university students (Psychology and Speech Pathology etc.) seeking a casual role.You should have:Experience working with ChildrenA Working with Children CheckABNCVReferencesTutors are encouraged to wear masks (Optional) Use good hand hygiene practices Work in a well ventilated space.Job Types: Part-time, Subcontract, CasualPay: $60.00 – $85.00 per hourBenefits:Employee mentoring programFree drinksProfessional development assistanceReferral programSchedule:Day shiftMorning shiftSupplemental pay types:Performance bonusExperience:teaching: 1 year (Preferred)Licence/Certification:Working with Children Check (Required)Work Location: In personApplication Deadline: 05/06/2024Expected Start Date: 05/06/2024","$60.00 - $85.00 Per hour (Employer Est.)","Sydney","Small Steps Learning",""
"24h","2024 Teaching Positions | Sydney Independent Schools","No","2024 Teaching Positions | Sydney Independent Schools


Here at SchoolHouse, we partner with top independent schools throughout the East Coast of Australia. Our New South Wales division has a number of contract and permanent Primary and Secondary Teaching vacancies available to commence in 2024 and are seeking quality educators for these positions.

If you are looking for new opportunities in Sydney, please email alex.mcpherson@the-schoolhouse.com.au for a confidential discussion about your options, or click ‘apply’.

We are currently working with Independent and Private Schools in Sydney seeking graduate and experienced teachers in the following subject areas:

Mathematics | Standard, Advanced and Extension
English | EAL/D, Standard, Advanced and Extension
Science | Chemistry, Biology, Physics
HSIE | Geography, History, Business Studies, Economics, Commerce, Religious Education
PDHPE | Sport, Lifestyle and Recreation Studies
TAS | Design Technology, Food Technology and Industrial Technology
Digital Technologies | Software Development
Creative Arts | Dance, Drama, Music, Visual Arts
Languages | French, Japanese, Italian, Spanish, Chinese/Mandarin, Latin
Primary & Early Childhood Education | K-6

Employment Requirements:
NESA Accreditation and WWCC (or eligibility to gain)

Current Working Rights for Australia including WHV or Skilled Migrant Visa

Be willing to provide evidence to support your application including suitable references

SchoolHouse is a complimentary service for teachers and school support staff. We work with schools across all sectors, states and territories to support their staffing needs. Visit https://jobs.the-schoolhouse.com.au/jobs/Careers to view all available positions.","$63K - $90K (Glassdoor Est.)","Sydney","SchoolHouse","https://www.glassdoor.com.au/Overview/Working-at-SchoolHouse-EI_IE3429942.11,22.htm"
"1d","Tutor","No","Join Our Team! Are you a recent high school graduate or a university student looking to make a difference while earning extra cash? NXT Tutoring is seeking enthusiastic individuals like you to join our team as tutors!At NXT Tutoring, we believe in empowering students to reach their full potential. As a tutor, you'll play a crucial role in guiding and inspiring students on their academic journey. With your expertise and dedication, you'll help them conquer challenges and achieve success.Requirements:High school graduateMust hold a P1 license or P2 or full licenseReliable carABNWorking With Children Check (WWCC)Why choose NXT Tutoring?Flexible hours: Work around your schedule and commitments.Competitive pay: Earn while making a difference in students' lives.Professional development: Enhance your skills and knowledge through ongoing training and support.Fulfilling work: Experience the satisfaction of helping students grow and succeed.Do you offer any other perks?Here at NXT Tutoring, we know that our staff is our driving force, and we reward our team handsomely with financial benefits, including:Paid Christmas bonus: Enjoy an extra reward during the festive season.End of Financial Year bonus: Celebrate your hard work with a special bonus at the end of the financial year.Birthday bonus: Celebrate your special day with a bonus to make it even more memorable!Pay ScaleK-10 Online: $30/hrK-10 In Person: $40/hrYear 11-12 Online: $35/hrYear 11-12 In Person: $45/hrJoin our team today and be part of something meaningful!Apply now and embark on a rewarding tutoring career with NXT Tutoring.NXT Tutoring. ""Your Success, Our priority"". Job Types: Subcontract, Casual, GraduatePay: $30.00 – $45.00 per hourBenefits:Profit sharingWork from homeSupplemental pay types:BonusChristmas bonusApplication Question(s):Are you willing to travel in a reliable car?Licence/Certification:Working with Children Check (Required)Driver Licence (Required)Work Authorisation:Australia (Required)Work Location: In person","$30.00 - $45.00 Per hour (Employer Est.)","Schofields","NXT Tutoring",""
"24h","Teaching Support (Ed Support Level 1-Range 2)","No","Job Description
Location: North West Region | Bendigo
Job type: Part time / From 15/07/2024 - 20/12/2024
Organisation: Schools (Government)
Salary: Salary not specified
Occupation: Teacher
Reference: 1419150
Selection Criteria
SC1 Demonstrated capacity to perform duties consistent with established guidelines and frameworks, including coordinating and supporting others in respect to specific work functions relevant to the role.
SC2 Demonstrated capacity to work and collaborate with others in a team environment.
SC3 Demonstrated capacity to communicate effectively in a team environment, including high level oral and written communication skills.
SC4 Possess the technical knowledge and expertise relevant to the position, including an ability to communicate in Karen.
SC5 Demonstrated capacity to provide advice and support to management and other school staff in respect to the work area.
SC6 A commitment to professional learning and growth for both self and others.
Role
Attendance requirement for this position: Monday to Friday 9 - 12.45
Successful candidate will be required to communicate in Karen and translate accordingly.
An education support class position at this range will perform tasks that are carried out in accordance with guidelines, accepted practice, and school policy under supervision and direction. This may include coordination of other education support class staff within the work area or educational program.
An education support class position supports the educational services being provided to students but must not include duties of a teacher as defined in clause 2.6.1 of the Education and Training Reform Act 2006 (Vic) or its successor. Supervision of students can be required individually or in groups up to 4 in controlled circumstances and where the responsibility for students remains clearly with a teacher.
Certification and/or qualifications of up to three years can be required at this level (noting that Registered Nurse is not included at this level, the first level for which is Level 1 range 3).
A role at this range may include:
Specific support tasks to achieve outcomes. Typically, this will involve accountability for a single function, (e.g. ensuring data is properly maintained) or the co-ordination of a work area under the direction of the principal or a manager.
Assisting teachers, within an educational program, by undertaking specific support tasks or the coordination of the support function.
Supervised health and wellbeing support tasks, medical intervention support tasks, or other specialised student/teacher support roles (e.g. enrolled nurses performing the role as described in schedule 3). These roles require specific qualifications and/or training, including roles where further training must be undertaken from time to time. The role is for a specific purpose, for which there will be direct accountability as opposed to support roles that are carried out by a range of staff performing routine tasks under direction.
Technical tasks that require a sound knowledge of basic technical and/or scientific principles that are used to develop and adapt work methods and make judgements where there are clear guidelines and limited options. Routine technical support in libraries, science, and information technology would be typical examples.
An education support class position at this range commencing at the base will initially be limited to undertaking routine tasks that are carried out under close supervision and direction. Work that carries some degree of independence will generally involve a limited number of tasks performed on a regular basis where priorities are clear, procedures are well established, and direction is readily available. Subject to any specific qualification and/or training requirement, an education support class employee employed in this range may be progressively required to undertake coordination, specialised student/teacher support tasks, or technical tasks as experience in the role is gained.
Responsibilities
Provides routine support for teachers including assisting with planning of student routines
Supports communication between teachers and parents
Communicates with teachers on routine matters related to students and/or other responsibilities
Provides basic physical care and wellbeing support for students such as toileting, meals, and lifting
Communicating with student/s to support comprehension of basic tasks and information
Addresses immediate behavioural presentations relating to specific students within a classroom setting aligned to school policy and procedure
Provides basic support and supervision for individuals or groups of up to 4 students within a classroom setting
Supports teachers in the coordination of educational programs independently or under minimal supervision, including rostering and organising the work of a team of aides, providing routine co-ordination, guidance, and support to other student support staff, liaising with external providers of support services about clearly defined support needs and resources, assisting teachers with the communication of student outcomes and educational programs
Provides medical intervention support to a student/s, under specific conditions, with appropriate training and guidance
Provides specialised communication support for students and teachers in areas such as AUSLAN and braille
Who May Apply
Individuals with the aptitude, experience and/or qualifications to fulfill the specific requirements of the position.
EEO AND OHS Commitment
Applicants seeking part-time employment are encouraged to apply for any teaching service position and, if they are the successful candidate, request a reduced time fraction. Such requests will be negotiated on a case-by-case basis and will be subject to the operational requirements of the school.
The Department of Education is committed to the principles of equal opportunity, and diversity and inclusion for all. We value diversity and inclusion in all forms - gender, religion, ethnicity, LGBTIQ+, disability and neurodiversity. Aboriginal and Torres Strait Islander candidates are strongly encouraged to apply for roles within the Department. The Department recognises that the provision of family friendly, supportive, safe and harassment free workplaces is essential to high performance and promotes flexible work, diversity and safety across all schools and Department workplaces. It is our policy to provide reasonable adjustments for persons with a disability (see Workplace adjustment guidelines).
Additional support and advice on the recruitment process is available to Aboriginal and/or Torres Strait Islanders from the Koorie Outcomes Division (KOD) via marrung@education.vic.gov.au
Child Safe Standards
Victorian government schools are child safe environments. Our schools actively promote the safety and wellbeing of all students, and all school staff are committed to protecting students from abuse or harm in the school environment, in accordance with their legal obligations including child safe standards. All schools have a Child Safety Code of Conduct consistent with the department's exemplar available at:
 https://www2.education.vic.gov.au/pal/child-safe-standards/policy
DE Values
The department's employees commit to upholding the department's Values: Responsiveness, Integrity, Impartiality, Accountability, Respect, Leadership and Human Rights. The department's Values complement each school's own values and underpin the behaviours the community expects of Victorian public sector employees, including those who work in Victorian Government Schools. Information on the department values is available at:
 https://www2.education.vic.gov.au/pal/values-department-vps-school-employees/overview
Conditions of Employment
All staff employed by the Department and schools have access to a broad range of employment conditions and working arrangements.
Appointment of successful applicants will be made subject to a satisfactory pre-employment conditions check.
A probationary period may apply during the first year of employment and induction and support programs provided.
Detailed information on all terms and conditions of employment is available on the Department's Human Resources website at http://www.education.vic.gov.au/hrweb/Pages/default.aspx
Location Profile
Lightning Reef Primary School boasts outstanding open planned facilities and large grounds beside Bendigo Showgrounds. The grounds are expansive and provides for active and passive play as well as a chicken enclosure and vegetable gardens. The full size gymnasium and indoor canteen ensure a range of indoor activities are encompassed in daily learning opportunities. The school's mission is to provide a welcoming and challenging environment that fosters respectful and responsible global citizens capable of thriving in the future. We hope our students graduate as knowledgeable, skilled, confident, and critical thinkers through the school being a centre of excellence committed to sharing best practice. Our key values demonstrate our shared and relentless commitment to implementing our mission so that our vision becomes a living reality. We value Respect: We show we care about ourselves, others and the environment through our actions and words. Responsibility: We do the things we are supposed to do, own, and accept the results of our actions and words. Persistence: We keep trying, even when things seem hard, and know when to seek help. Kindness: We use actions and words to make others feel happy, or when we notice they need help. The enrolment currently sitting around 165 students. Student Family Occupation (SFO) index in 2024 is 0.71 and the Student Family Occupation and Education Index was also high. This characterises the school as a low socio-economic school community. We have one student funded by the Program for Students with Disabilities (PSD) and another three who qualify for DI Funding. 18 ATSI students, 5 in Out of Home Care and 63 with a Karen background. The school went through a School Review mid 2022, which was a wonderful celebration of the gains it had made in all areas of school improvement. The leadership team consists of a Principal, Acting Assistant Principal, and 2 Leading Teachers; with Ls & AP holding teaching roles at the school. Homegroups are taught by 10 teachers, 2 part-time Intervention teachers/tutors and 4 specialist teachers. Nine Education Support Officers (ES) supported students across the school. The school's specialist programs are Visual Arts, Music and Physical Education and a Languages program in Karen with the assistance of our Multi Cultural Aides. The school enjoyed strong ties with the Greater City of Bendigo Council who sponsor local businesses to participate in an aspirational work program called Passions and Pathways (P&P) targeting Year Six students. The school also had strong ties with both the Eaglehawk and Bendigo Sandhurst Rotary Clubs, with Bendigo Sandhurst Rotary Club leading a weekly volunteer gardening program. The club also donated fresh fruit weekly that complemented our daily breakfast club. The school maintained positive community partnerships that supported our students and their families. The school accesses DET Speech Pathologists, Psychologists, Occupational Therapists and Koorie Education Support Officers, supplementing our own speech aide and a qualified Social Worker, employed as our PWO (0.6) to complement these services using Equity funds. A major success in 2022 was the introduction of a designated Student Attendance and Wellbeing LT. This substantial commitment via Equity funding saw a total review of processes to track student absences, work closely with the Regional Team and families to support students to attend school on a regular basis. Although our Attendance Data remained a challenge, the newly developed Staged Response to Non-Attendance will provide us with a clear implementation strategy for future years. Equity funding has been allocated to allow the Wellbeing Leading Teacher to promote and oversee SWPBS and teach RR&RR across the school, support additional ESS, release a second Leading Teacher to manage Disability and Inclusion at a whole-school level and release a Literacy leader to provide additional lessons to our EAL students.","$78K - $80K (Glassdoor Est.)","Bendigo","Schools (Government)","https://www.glassdoor.com.au/Overview/Working-at-Department-of-Education-and-Early-Childhood-Development-Victoria-EI_IE657347.11,75.htm"
"14d","Administrative Assistant Student Wellbeing and Teaching","No","All Hallows' School | Administration/Support/Service
Closing date: 10/06/2024

All Hallows' School is a Catholic girls' school that is a Ministry of Mercy Partners.

All Hallows' is committed to a vision of education that takes account of diverse student needs and social issues, particularly those affecting women and justice. This philosophy is reflected in the academic and pastoral life of the School.

The Administrative Assistant Student Wellbeing and Teaching is part of a collaborative team reporting to Administration Services Manager and works to provide high quality administrative support to designated Leaders, as well as being the first point of contact for visitors and callers to the School through the provision of high quality and professional reception services.

This is a full-time, term-time position, involving 38 hours per week between 7:30am – 3:30pm Monday to Friday with a half hour lunch break. In addition, the successful applicant will be required to work an additional week per school holiday period at the end of each term, and the beginning of the year (or part thereof, assigned as four additional paid weeks).

This position commences on Monday, 8 July 2024, or as negotiated with the successful applicant.

Applications close at 9:00 am Monday, 10 June 2024. Early submission of applications is strongly encouraged. Applications for advertised vacancies should be submitted online.

Please see the Position Overview and Duty Statement for full details.

At All Hallows' School, diversity is celebrated, and our workplace culture is built on respect, dignity, and fairness. We encourage applications from candidates of all backgrounds and lived experiences, including Aboriginal and Torres Strait Islander people.

All Hallows' School is committed to creating and maintaining an inclusive workplace and work practices for current and future employees. We strive to create a positive, barrier-free recruitment process and a supportive workplace. Please contact Human Resources if you require a workplace adjustment to participate in our recruitment processes.

We thank all applicants for their interest, however, only those selected for interviews will be contacted.","$55K - $70K (Glassdoor Est.)","Brisbane","All Hallow's School","https://www.glassdoor.com.au/Overview/Working-at-All-Hallows-School-EI_IE6563685.11,29.htm"
